,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood,historic_stream
14,-2.8241569710596437e-07,-1.498954254885998e-07,0.0,-0.00031022366116548183,-0.0002866352977747011,2.370895859610256e-05,J177-S_depth,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,6.859170302853101e-07,4.0950934238059844e-07,0.0,-0.0011304804979939131,-0.022966332411540613,-0.021822066866138634,J182-S_depth,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,4.279803858531217e-08,3.616866769973193e-08,0.0,-0.0004937377525880138,-0.01977384689285072,-0.019320702434908216,J191-S_depth,J191-S,Fells Point,Canal Street Creek
17,3.1907205329251287e-07,-1.521094440681825e-08,0.0,-0.00020904453191029904,-0.00020476088185750196,3.925706150598174e-06,J1-S_depth,J1-S,Clifton Park,Canal Street Creek
18,-9.256199501317397e-09,7.0517854056095786e-09,0.0,-0.0002883030664175973,-0.00028074216832180143,7.837943406696635e-06,J204-S_depth,J204-S,Fells Point,Canal Street Creek
19,-3.320976588172542e-08,2.3422298711661682e-08,0.0,-0.000541050693859485,-0.000509160031265693,3.2130843571509526e-05,J208-S_depth,J208-S,Downtown,"Southside, Drains to Harbor"
20,-1.9389111563794525e-06,-0.015894483460167003,0.0,-0.01670235719843688,-0.0348253820974975,-0.01954832080901389,J211-S_depth,J211-S,Fells Point,Canal Street Creek
21,-2.2538905131153086e-08,1.590742637613829e-08,0.0,-0.000943167219725427,-0.008126241209621188,-0.007176610111661597,J227-S_depth,J227-S,Locust Point,"Southside, Drains to Harbor"
22,-3.0492533079767847e-07,9.186478440448287e-08,0.0,-8.949584899969887e-07,-2.2169911392401487e-05,-7.452594564999471e-06,J231-S_depth,J231-S,Locust Point,"Southside, Drains to Harbor"
23,8.086773660084812e-08,-1.8456742510025714e-07,0.0,8.111550663700284e-06,-0.00027085860215709905,-0.00033504879038510037,J232-S_depth,J232-S,Locust Point,"Southside, Drains to Harbor"
24,-2.023227779757164e-08,1.4158929501073558e-08,0.0,-0.0003728649020525998,-0.0003558431990449973,1.7123030963600572e-05,J234-S_depth,J234-S,Locust Point,"Southside, Drains to Harbor"
25,9.546134105420379e-09,-3.912187893084784e-09,0.0,-0.0001950074018422926,-0.00019504323083470443,-2.694451620155469e-08,J238-S_depth,J238-S,Locust Point,"Southside, Drains to Harbor"
26,-3.5143872811893573e-09,1.3258829312245979e-08,0.0,-0.000501971460390882,-0.0031898810409771994,-0.0026999873604264812,J240-S_depth,J240-S,Locust Point,"Southside, Drains to Harbor"
27,6.788816599989644e-07,4.0380308352627736e-07,0.0,-0.0008247347085018064,-0.01942105226335289,-0.018602734481326877,J245-S_depth,J245-S,Locust Point,"Southside, Drains to Harbor"
28,-0.0036767980733674877,-0.00591427542617598,0.0,-0.010566698537831792,-0.04097680007563409,-0.030432773618231296,J253-S_depth,J253-S,Eager Park,Canal Street Creek
29,-0.0005347481994546766,2.9053757205632635e-08,0.0,-0.0010411713813471835,-0.013453788889565887,-0.012555580547990886,J260-S_depth,J260-S,Broadway East,Canal Street Creek
30,-0.001038968918422284,1.326085037056668e-07,0.0,-0.001481199051659804,-0.005137742022632397,-0.0036900006420921005,J266-S_depth,J266-S,Clifton Park,Canal Street Creek
31,2.211261181106483e-08,1.690270100274116e-08,0.0,-0.000259622084291089,-0.00025957627416128837,2.827211280365116e-08,J268-S_depth,J268-S,Clifton Park,Canal Street Creek
32,-1.0738715597313764e-08,7.207907201656205e-09,0.0,-0.0002046031269746923,-0.00020461032049490235,-9.531951700170183e-09,J273-S_depth,J273-S,Clifton Park,Canal Street Creek
33,-0.008233313796109976,-2.5847154375369108e-05,0.0,-0.009247235009056887,-0.04036628003671089,-0.03044704115093738,J278-S_depth,J278-S,Broadway East,Canal Street Creek
34,3.37018297652536e-06,3.2113516588161417e-06,0.0,-0.002861207720233405,-0.09611143950717699,-0.08493817321149516,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,-0.00999474694134811,7.63864231112521e-06,0.0,-0.011299654860054298,-0.04509706750529541,-0.0331145661453211,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.00023504733007012613,-1.0592457652391918e-05,0.0,-0.00047023763875458924,0.0008016523739389769,0.001253783807484088,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,-0.004955707758182382,7.411541518612119e-05,0.0,-0.005863060022890193,-0.03544035663201858,-0.030814329853604577,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,-0.008648402631735441,-0.013469697148347337,0.0,-0.024390524201208408,-0.09001945213606333,-0.0653145512096096,J338-S_depth,J338-S,Eager Park,Canal Street Creek
