,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood,historic_stream
13,J171-S_depth,0.1037766452015291,0.1037766708016304,0.1037766863301021,0.1035408221333468,0.103548713667613,0.1037843043234351,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1351217386426964,0.135121728561886,0.1351220210583935,0.134811797397228,0.1348353857606188,0.1351457300169896,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.3505833428942618,0.3505836942323915,0.3505826569772315,0.3494521764792376,0.3276163245656909,0.3287605901110929,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.2126985965968867,0.2126980254362759,0.2126985537988481,0.2122048160462601,0.1929247069059974,0.1933778513639399,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.1009334229138255,0.1009334524043492,0.1009331038417722,0.1007240593098619,0.1007283429599147,0.1009370295479228,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1180013370438896,0.1180013444017705,0.1180013463000891,0.1177130432336715,0.1177206041317673,0.1180091842434958,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1897638598093467,0.1897638794951671,0.1897638930191126,0.1892228423252531,0.1892547329878469,0.1897960238626841,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1729383215451326,0.1570437703761495,0.172940260456289,0.1562379032578521,0.1381148783587915,0.1533919396472751,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3373477962571709,0.3373474371068314,0.337347818796076,0.3364046515763506,0.3292215775864548,0.3301712086844144,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0379941567009422,0.0379945974864169,0.037994461626273,0.037993566667783,0.0379722917148806,0.037987009031708,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0114864238475425,0.0114687056996247,0.0114863429798059,0.0114944545304696,0.0112154843776488,0.0111512941894208,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1410620217349532,0.141062033955733,0.141062041967231,0.1406891770651784,0.140706198768186,0.1410791649981946,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.089339462737633,0.0893394887515343,0.0893394531914989,0.0891444457896566,0.0891444099606642,0.0893394262469827,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1707358449071421,0.1707358591145559,0.1707358484215294,0.1702338769611385,0.1675459673805522,0.1680358610611029,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.3052345858767976,0.3052348087577377,0.3052339069951376,0.3044091722866358,0.2858128547317847,0.2866311725138107,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1753394230705555,0.1693250860821967,0.179016221143923,0.1684495226060912,0.1380394210682889,0.1485834475256917,J253-S,Eager Park,Canal Street Creek
29,J260-S_depth,0.1780343027146714,0.1780342015785854,0.1785690509141261,0.1775278795327789,0.1651152620245602,0.1660134703661352,J260-S,Broadway East,Canal Street Creek
30,J266-S_depth,0.1628065923055722,0.1628063818640358,0.1638455612239945,0.1623643621723347,0.1587078192013621,0.1601555605819024,J266-S,Clifton Park,Canal Street Creek
31,J268-S_depth,0.1168729667739847,0.1168729853860803,0.1168729446613729,0.1166133225770818,0.1166133683872116,0.1168729729334857,J268-S,Clifton Park,Canal Street Creek
32,J273-S_depth,0.0919350624830913,0.0919350695137493,0.0919350732218069,0.0917304700948322,0.091730462901312,0.0919350636898552,J273-S,Clifton Park,Canal Street Creek
33,J278-S_depth,0.2458382168865999,0.2458135944188009,0.2540715306827099,0.244824295673653,0.213705250645999,0.2236244895317725,J278-S,Broadway East,Canal Street Creek
34,J27-S_depth,0.4439723389940664,0.4439713746155807,0.4439689688110899,0.4411077610908565,0.3478575293039129,0.3590307955995947,J27-S,Locust Point,"Southside, Drains to Harbor"
35,J280-S_depth,0.3347051790286489,0.3347119714352021,0.344699925969997,0.3334002711099427,0.2996028584647016,0.3115853598246759,J280-S,Broadway East,Canal Street Creek
36,J328-S_depth,0.2589107286871776,0.2589008284856759,0.2586756813571075,0.2582054437183529,0.2594773337310465,0.2599294651645916,J328-S,Broadway East,Canal Street Creek
37,J329-S_depth,0.223854434197885,0.2239260118908284,0.2288101419560674,0.2229470819331772,0.1933697853240488,0.1979958121024628,J329-S,Broadway East,Canal Street Creek
38,J338-S_depth,0.3534519945500347,0.3396654090047845,0.3621003971817701,0.3377098729805617,0.2720809450457068,0.2967858459721605,J338-S,Eager Park,Canal Street Creek
39,J33-S_depth,0.4239021202057014,0.4239021592344989,0.4239021606261082,0.4224464809791952,0.403290532378993,0.4047629828304148,J33-S,Locust Point,"Southside, Drains to Harbor"
40,J34-S_depth,0.120060828955082,0.1200608325743359,0.120060833418757,0.1197565775006016,0.1197567571500681,0.1200610129947287,J34-S,Locust Point,"Southside, Drains to Harbor"
41,J361-S_depth,0.2531744655537411,0.2454866392838968,0.2568597714032776,0.2441177956482168,0.2091805484675058,0.2160069533807867,J361-S,Eager Park,Canal Street Creek
42,J366-S_depth,0.2506721270119229,0.2392056420287325,0.2569286415325892,0.2376402452144206,0.17900009469814,0.1943320813536759,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.240223412224245,0.2358653345785616,0.2427367270718642,0.2349562740753153,0.2581749618906767,0.2662382629823045,J385-S,Johnston Square,Harris Creek
44,J3-S_depth,0.2522964177766269,0.2522964209194904,0.2522965555928642,0.2511120894407862,0.2070453622844284,0.2076260231644471,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.1514730703405211,0.1514825655846643,0.1529964657958706,0.1510908097797851,0.1511585207467241,0.1530681499152245,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.2664190875810249,0.2617218722091318,0.269665222800025,0.2603406034846555,0.2373488298101198,0.247875515770965,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.0984939909026715,0.0984939977613644,0.0984939993497861,0.0982984850125497,0.0982992612738563,0.0984947759581078,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1499456122868629,0.1499449979311607,0.149946049286997,0.1495606197171555,0.1500024867804458,0.1503884770310842,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1783179767317009,0.1645684089348482,0.1811915937080042,0.162968276080613,0.109255596654397,0.124776621439435,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.4540477933374229,0.4417981547665388,0.4619918737746811,0.4382409361170369,0.2975216090298461,0.3289828019282099,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1284386820046796,0.1284414729073682,0.1284369845640312,0.1281254627456962,0.1262311329755576,0.1265416907312745,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1593698947867966,0.1593774082230395,0.1593753564716642,0.1591967401954539,0.1613464099578314,0.1614894114220215,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.1215512360131652,0.1215512511437142,0.1215512655331685,0.1212751464896023,0.1213110666395816,0.1215791787716071,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1667578850442159,0.1667578964836705,0.1667580287602277,0.1662832203286661,0.1636781517283169,0.1641395387455407,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.2363508963101431,0.2363514685838633,0.2363509196110885,0.2354506912020885,0.2222627162992808,0.2231654233295482,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1213119293571895,0.1213119343776926,0.1213119358962241,0.1210072801284436,0.1210072775859019,0.1213119293597836,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.4353800937252698,0.4353801059965549,0.4353802613326177,0.4343506750848973,0.4346843482206061,0.4357073423863912,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.1806339739840577,0.1806505333076877,0.1806340252711221,0.180149710427082,0.1802453104543616,0.1807105170111899,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.3618636653204102,0.3618649207625084,0.3618632116461169,0.3603439807745228,0.3261801995068045,0.3277088196877524,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.2735128668114882,0.2735130305205421,0.2735126231323497,0.2724658086394892,0.2540781993226336,0.2551278156400824,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.0987976492258922,0.0987976649799819,0.0987978061779386,0.0986075036112604,0.0986108398067495,0.098801435510329,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.1061174373297558,0.0936928830633897,0.1061175990111552,0.0934062054737807,0.0934067508261569,0.1061185454332982,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1669354983107156,0.1669360936688262,0.1669340089205726,0.1664058152880703,0.1413002876782758,0.1419370974540283,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.1963830982844404,0.1963836018910468,0.1963830131618142,0.1959507540197923,0.1973000771743704,0.1977406425660034,J506-S,Baltimore Highlands,Harris Creek
65,J507-S_depth,0.4068587399954059,0.4067537669082172,0.4068584266693957,0.4049766053944785,0.3593817492428678,0.3618930635627887,J507-S,Patterson Park,Harris Creek
66,J50-S_depth,0.1327018346954383,0.1163597186732378,0.1327018380936225,0.1160007130427358,0.1144055200045903,0.1308861532995733,J50-S,Washington Hill,Canal Street Creek
67,J512-S_depth,0.294212074438592,0.2941258265674112,0.2942109393274664,0.292780269369449,0.2596275140617358,0.2586379557949684,J512-S,Patterson Park,Harris Creek
68,J534-S_depth,0.2052073912948858,0.2009426209980261,0.2052076044668933,0.2002861419681456,0.1831720961519195,0.1867501215540297,J534-S,Patterson Park,Harris Creek
69,J539-S_depth,0.3490950873222899,0.3490950904227602,0.3490950960253947,0.3479838387579795,0.3155903245303932,0.3166550317852248,J539-S,Canton,"Northside, Drains to Harbor"
70,J541-S_depth,0.1535049353297381,0.1535050586488421,0.153505009786421,0.1531534010118954,0.1532782655397766,0.1536324609912566,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,J548-S_depth,0.2941706350654889,0.2941706899566593,0.2941707074641648,0.2933196275206802,0.2950958397646864,0.295960603894507,J548-S,Canton,"Northside, Drains to Harbor"
72,J556-S_depth,0.2921773617627944,0.2921774040489674,0.2921768239373958,0.2909560941960288,0.2430049455483012,0.2442723143547925,J556-S,Canton,Harris Creek
73,J567-S_depth,0.1541860261719422,0.1541860605877241,0.1541860884152698,0.1537929407944279,0.1513508928039024,0.1517480358146145,J567-S,Berea,Armistead Creek
