,BGN,BGNx3,Base,G,G&I,I,node_name,node_id,neighborhood
29,-0.053810654571245564,-0.053405935437608854,0.0,-0.04445911546977577,-0.28256565971613146,-0.18887207194608546,J260-S_flow,J260-S,"('Broadway East', 'Canal Street Creek')"
30,-0.053963236059217046,-0.05383827753016179,0.0,-0.024551467684251982,-0.2842680369402659,-0.211724225237246,J266-S_flow,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,0.0003292711451878816,0.0001221730040970037,0.0,-0.016326605515222248,-0.015792340210236233,0.0003292711451878816,J268-S_flow,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,0.00012103815915942562,4.4910086204108524e-05,0.0,-0.010975233433174747,-0.010779733242301859,0.00012103815915942562,J273-S_flow,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,-0.487293249992403,-0.48729590548506696,0.0,-0.06245429699202809,-2.1007231986824744,-1.58370061297454,J278-S_flow,J278-S,"('Broadway East', 'Canal Street Creek')"
34,0.00010892828794917264,3.0842838055988864e-05,0.0,-0.012002470330005899,0.08977998507460994,0.10553875847926797,J27-S_flow,J27-S,"('Locust Point', 'Southside, Drains to Harbor')"
35,-0.459233355796151,-0.4590058280765872,0.0,-0.06230163990100834,-2.082406672524429,-1.5917184081195002,J280-S_flow,J280-S,"('Broadway East', 'Canal Street Creek')"
36,0.00038262827236135166,0.00014197067119248175,0.0,-0.02637487735735622,-0.025756607521448593,0.00038262827236135166,J328-S_flow,J328-S,"('Broadway East', 'Canal Street Creek')"
37,-0.4712949281966008,-0.47137689374622127,0.0,-0.08603621993583666,-2.357230284019492,-1.860589335778883,J329-S_flow,J329-S,"('Broadway East', 'Canal Street Creek')"
38,-0.3540147651422494,-0.8811919831911776,0.0,-0.08541464056089332,-2.922873552391331,-2.62028500957425,J338-S_flow,J338-S,"('Eager Park', 'Canal Street Creek')"
39,0.00021594674033753591,8.008037552098557e-05,0.0,-0.04153326041089134,-0.040123834278438686,0.0012870766181887205,J33-S_flow,J33-S,"('Locust Point', 'Southside, Drains to Harbor')"
40,8.706822975002027e-05,3.230585900260152e-05,0.0,-0.022301923829701753,-0.02216325872231728,8.706822975002027e-05,J34-S_flow,J34-S,"('Locust Point', 'Southside, Drains to Harbor')"
41,-0.27139459483732953,-0.765614611861479,0.0,-0.09501814202325942,-2.898611907551084,-2.487234188632737,J361-S_flow,J361-S,"('Eager Park', 'Canal Street Creek')"
42,-0.33442085671190735,-0.8674083110050299,0.0,-0.08092955317828388,-3.3368381429413665,-2.5601857931598504,J366-S_flow,J366-S,"('Eager Park', 'Canal Street Creek')"
43,-0.21699611313015055,-0.5682003037343968,0.0,-0.05602708134508738,1.260018259136288,2.0384693579234803,J385-S_flow,J385-S,"('Johnston Square', 'Harris Creek')"
44,-7.605367153828979e-07,-1.3298133563210968e-06,0.0,-0.03363871496859794,0.05421192606216163,0.08820008507776667,J3-S_flow,J3-S,"('Fells Point', 'Northside, Drains to Harbor')"
45,-0.11718620447849482,-0.1174845933023887,0.0,-0.03051619798844918,-0.1472183704534089,0.0005008211680017638,J413-S_flow,J413-S,"('Broadway East', 'Harris Creek')"
46,-0.31317233624940854,-0.737672674260482,0.0,-0.11331664450541368,0.3870060151830863,1.2840976119625793,J421-S_flow,J421-S,"('McElderry Park', 'Harris Creek')"
47,0.00020749434730804595,7.698885284712631e-05,0.0,-0.020190445204914642,-0.019856661720559998,0.00020749434730804595,J42-S_flow,J42-S,"('Locust Point', 'Southside, Drains to Harbor')"
48,0.00033434554200972855,0.00012405581196706095,0.0,-0.020332132835244376,-0.01979074322542429,0.00033434554200972855,J433-S_flow,J433-S,"('Madison-Eastend', 'Harris Creek')"
49,-0.18699530299959743,-0.9009450948093556,0.0,-0.08755340136555478,-2.413728730032151,-2.013678198133606,J437-S_flow,J437-S,"('Patterson Park', 'Harris Creek')"
50,-0.24462884922287564,-0.5924530393089018,0.0,-0.10267308149427556,-2.236001691052987,-1.5237927531539217,J438-S_flow,J438-S,"('McElderry Park', 'Harris Creek')"
51,-2.850655739017327e-06,1.1440210201385526e-07,0.0,-0.019417250163284994,-0.019808064203389986,-0.00039667638646756487,J450-S_flow,J450-S,"('Madison-Eastend', 'Harris Creek')"
52,-4.828972625992023e-05,-6.204407553522806e-05,0.0,-0.005376893406177974,-0.005345655529646942,-4.963526042800481e-05,J456-S_flow,J456-S,"('Orangeville', 'Harris Creek')"
53,0.00022281206797147846,8.267235101211412e-05,0.0,-0.012726437028772075,-0.01236566003783901,0.00022281206797147846,J45-S_flow,J45-S,"('Locust Point', 'Southside, Drains to Harbor')"
54,-4.64952837653243e-06,-4.2752760816000546e-06,0.0,-0.03392598073734465,-0.228634302315597,-0.19619636218048342,J460-S_flow,J460-S,"('Orangeville', 'Harris Creek')"
55,-9.201015165771764e-06,-8.586795201992459e-06,0.0,-0.050689151185122405,-0.2370408275615361,-0.18777947490194435,J461-S_flow,J461-S,"('Baltimore Highlands', 'Harris Creek')"
56,0.00011937213303170324,4.4291922663752814e-05,0.0,-0.016922194906279664,-0.016730660414784992,0.00011937213303170324,J46-S_flow,J46-S,"('Locust Point', 'Southside, Drains to Harbor')"
57,0.0006363919456227052,0.00023612732824052074,0.0,-0.028810109792061667,-0.027778367338058274,0.0006363919456227052,J471-S_flow,J471-S,"('Orangeville', 'Harris Creek')"
58,0.0003662109395339286,0.00013587917213442324,0.0,-0.03225092945725638,-0.031660699788723434,0.0003662109395339286,J480-S_flow,J480-S,"('McElderry Park', 'Harris Creek')"
59,1.9390021039455974e-05,3.2403477275622095e-05,0.0,-0.09422553993877436,-1.4957314522294727,-1.4077008203331083,J484-S_flow,J484-S,"('Baltimore Highlands', 'Harris Creek')"
60,-1.4281767093393682e-06,3.5589054869333836e-05,0.0,-0.0893150193341512,-0.9156424371120693,-0.8294513143210143,J491-S_flow,J491-S,"('Kresson', 'Harris Creek')"
61,-0.0008067011158416904,-0.0010364735698895622,0.0,-0.012729096698719466,-0.012189145690672643,-0.0008291788559118274,J492-S_flow,J492-S,"('Baltimore Highlands', 'Harris Creek')"
62,-0.0005872767099537324,-0.5742377452464416,0.0,-0.011060579022952322,-0.5848920356564711,-0.000603640457289556,J49-S_flow,J49-S,"('Washington Hill', 'Canal Street Creek')"
63,-0.00010347877397842709,-0.00013142336535443278,0.0,-0.009474516375567399,-0.009092716642252308,0.0002010797471150294,J4-S_flow,J4-S,"('Canton', 'Northside, Drains to Harbor')"
64,-0.0008477623272620249,-0.0010892302347178529,0.0,-0.013863159462710772,-0.013296370471854058,-0.0008713841877736606,J506-S_flow,J506-S,"('Baltimore Highlands', 'Harris Creek')"
65,2.810169099021209e-05,0.00038203034386263823,0.0,-0.12228387117799322,-3.0512480853184005,-2.9444839278959734,J507-S_flow,J507-S,"('Patterson Park', 'Harris Creek')"
66,-0.0005992326563437622,-0.7610075185976082,0.0,-0.01729799010987154,-0.8526293161898184,-0.08917971063372132,J50-S_flow,J50-S,"('Washington Hill', 'Canal Street Creek')"
67,4.1536124939511865e-05,-0.007412781365799148,0.0,-0.11807525882716696,-2.942315525648004,-2.851857167881036,J512-S_flow,J512-S,"('Patterson Park', 'Harris Creek')"
68,-0.00026068705710269313,0.0010620504245588691,0.0,-0.029846972116579273,-0.022859444400032736,0.004250104637250729,J534-S_flow,J534-S,"('Patterson Park', 'Harris Creek')"
69,-0.00019651739840798044,9.18624245143107e-05,0.0,-0.02471878416251272,-0.3635179084490283,-0.3414865561068652,J539-S_flow,J539-S,"('Canton', 'Northside, Drains to Harbor')"
70,-0.0005453380110300721,-0.0007006664847601929,0.0,-0.0112273541534742,-0.01086341769574406,-0.0005605331878080211,J541-S_flow,J541-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
71,0.0005604252018676092,0.00020794057263895382,0.0,-0.03317004033334303,-0.03226419804295855,0.0005604252018676092,J548-S_flow,J548-S,"('Canton', 'Northside, Drains to Harbor')"
72,-0.00011580291252988317,6.058167719036334e-05,0.0,-0.015848633642799204,-0.008176334663720475,0.007332505032548564,J556-S_flow,J556-S,"('Canton', 'Harris Creek')"
73,-0.0003351657204628822,0.00010790888064793336,0.0,-0.024969751706242604,-0.02444594787861476,-0.00028251548463575915,J567-S_flow,J567-S,"('Berea', 'Armistead Creek')"
74,0.0004753494863480867,0.00017611438944875601,0.0,-0.026235548430131317,-0.16059579435929816,-0.13477766853556705,J568-S_flow,J568-S,"('Berea', 'Armistead Creek')"
75,0.0004140241556553903,0.00015361982246009376,0.0,-0.003966656125926171,-0.0032851758733025704,0.0004140241556553903,J571-S_flow,J571-S,"('Berea', 'Armistead Creek')"
76,-0.21982973084951318,-0.6307062993591988,0.0,-0.07958928676318955,-2.7772420356015095,-2.5887469835256636,J576-S_flow,J576-S,"('Dunbar-Broadway', 'Canal Street Creek')"
77,-0.17098639768263713,-0.46552617026681276,0.0,-0.08390312187695947,-1.7298646413940717,-1.6307655606040519,J578-S_flow,J578-S,"('Dunbar-Broadway', 'Canal Street Creek')"
78,-2.117284599423286e-06,-6.835191581844313e-06,0.0,-0.009592487100385627,-0.2506163238057104,-0.24215708905763944,J586-S_flow,J586-S,"('Dunbar-Broadway', 'Canal Street Creek')"
79,0.0002697510568188122,0.00010008862741717195,0.0,-0.016844177206410738,-0.0164079172438365,0.0002697510568188122,J587-S_flow,J587-S,"('Downtown', 'Southside, Drains to Harbor')"
80,-6.542390343788895e-05,2.1834948927601516e-05,0.0,-0.013665182832208966,0.03968299951256382,0.053349122046043806,J592-S_flow,J592-S,"('Dunbar-Broadway', 'Canal Street Creek')"
81,1.0327059527082127e-05,3.854776684297789e-06,0.0,-0.010712925886205982,-0.010573186495401066,0.00013661754919347402,J5-S_flow,J5-S,"('Canton', 'Northside, Drains to Harbor')"
