,node_name,BGN,BGNx3,Base,G,G&I,I,node_id,neighborhood
23,J232-S_flow,0.0288472298006066,0.0288461573460555,0.0288460014097945,0.0288503889708378,0.0289333043135083,0.0288683214421486,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,J234-S_flow,3.43458171297371,3.4341794259874754,3.434378268067628,3.4118084225204943,3.4120061088579217,3.43458171297371,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,J238-S_flow,1.041417669860586,1.0414519907633577,1.0414599815078962,1.034674052115601,1.0346741786089015,1.041416490898277,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,J240-S_flow,3.2467723081840023,3.2472642811401675,3.247382795587696,3.2284577634155927,3.228534458474442,3.2468431010681105,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,J245-S_flow,2.8615923724709296,2.861494890054616,2.8615429354884445,2.8423319584042317,2.740574682088916,2.7590424478934006,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,J253-S_flow,7.545526593318598,7.336855137125087,7.91945145616486,6.883992293325103,4.448822098672324,5.294928054462797,J253-S,"('Eager Park', 'Canal Street Creek')"
29,J260-S_flow,6.917553066746242,6.970946910406686,6.971363721317488,6.873704743674764,6.688798061601356,6.782491649371402,J260-S,"('Broadway East', 'Canal Street Creek')"
30,J266-S_flow,3.9518699532136567,4.005598748129928,4.005833189272874,3.927678775991044,3.721565152332608,3.794108964035628,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,J268-S_flow,2.689024572692368,2.688373479975412,2.68869530154718,2.6725803302109408,2.672902961336944,2.689024572692368,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,J273-S_flow,1.678504223793068,1.6782648858946398,1.6783831856339086,1.667485394104598,1.6676034523916068,1.678504223793068,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,J278-S_flow,7.52986377316045,8.017178482431536,8.017157023152853,7.468304057034051,5.916433824470379,6.433456410178313,J278-S,"('Broadway East', 'Canal Street Creek')"
34,J27-S_flow,2.02168461514989,2.0214651763079323,2.021575686861941,2.009644939225258,2.111355671936551,2.127114445341209,J27-S,"('Locust Point', 'Southside, Drains to Harbor')"
