,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
100,0.0,-6.686588322946108e-05,-1.4942096808745475e-06,-8.703771392415405e-05,-7.060140743231358e-05,J722-S_flow,J722-S,"('Fells Point', 'Northside, Drains to Harbor')"
101,0.0,-0.0002200848484190665,-4.918097171735525e-06,-0.03194225745894652,-0.031889761084547885,J72-S_flow,J72-S,"('Federal Hill', 'Southside, Drains to Harbor')"
102,0.0,0.03141113867007439,1.7895254740274424e-06,-0.0009466295418740778,0.03046072826570745,J732-S_flow,J732-S,"('Fells Point', 'Northside, Drains to Harbor')"
103,0.0,-0.00019331221152985023,-4.319825956056178e-06,-0.0002516298619354984,-0.00020411177641932454,J733-S_flow,J733-S,"('Canton', 'Northside, Drains to Harbor')"
104,0.0,-0.5425861003973892,-2.2293463953770853e-06,-0.00518640651661062,-0.5446644944046167,J748-S_flow,J748-S,"('Washington Hill', 'Canal Street Creek')"
105,0.0,-0.8207429578937804,2.1054206849058232e-05,-0.01193051317762972,-0.8285466517425131,J749-S_flow,J749-S,"('Fells Point', 'Canal Street Creek')"
106,0.0,-0.0004977523896512182,-1.112295842853328e-05,-0.0006479123284282018,-0.000525559785720997,J751-S_flow,J751-S,"('Fells Point', 'Northside, Drains to Harbor')"
107,0.0,0.0,0.0,-0.10853541829280644,-0.10853541829280644,J756-S_flow,J756-S,"('Upper Fells Point', 'Northside, Drains to Harbor')"
108,0.0,0.0011737514945222571,-2.531752585355207e-12,-4.68336480707876e-12,0.0011743237082173508,J758-S_flow,J758-S,"('Fells Point', 'Northside, Drains to Harbor')"
109,0.0,-0.004773431767565173,-1.0093193310689585e-05,-4.527457865055595e-06,-0.004775153389793729,J760-S_flow,J760-S,"('Fells Point', 'Northside, Drains to Harbor')"
110,0.0,-0.9974700036579023,-0.00010650506977816221,-0.011651258944080034,-1.0061102450402948,J761-S_flow,J761-S,"('Fells Point', 'Canal Street Creek')"
111,0.0,-0.0002523405859968797,-5.638895776982622e-06,-0.006155729809337096,-0.00609450856381466,J762-S_flow,J762-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
112,0.0,-0.24013654318039057,-4.992045251106525e-05,-5.590781771758202e-06,-0.24013653551654723,J764-S_flow,J764-S,"('Fells Point', 'Northside, Drains to Harbor')"
113,0.0,-0.16759998089582212,-3.080770265229127e-06,4.7592948482222397e-07,-0.16760033350787812,J765-S_flow,J765-S,"('Fells Point', 'Northside, Drains to Harbor')"
114,0.0,-0.00019802785849076798,5.000977409963525e-10,-0.4021664766744433,-0.40288197528185066,J772-S_flow,J772-S,"('Canton', 'Northside, Drains to Harbor')"
115,0.0,0.0,0.0,0.0,0.0,J782-S_flow,J782-S,"('Patterson Park', 'Harris Creek')"
116,0.0,0.0,0.0,-0.019541665856480428,-0.019541665856480428,J787-S_flow,J787-S,"('Berea', 'Armistead Creek')"
117,0.0,-0.6058649694537241,6.88817335259273e-06,-0.0036811257043958268,-0.6085387752594918,J789-S_flow,J789-S,"('Dunbar-Broadway', 'Canal Street Creek')"
118,0.0,-0.000710715958041952,-1.5881920850446818e-05,-0.00897446613466979,-0.008801126133812787,J78-S_flow,J78-S,"('Federal Hill', 'Southside, Drains to Harbor')"
119,0.0,-0.0012054739586204732,-2.6937965555973165e-05,-0.0015691364936234464,-0.0012728188725104062,J792-S_flow,J792-S,"('Canton', 'Northside, Drains to Harbor')"
120,0.0,-0.22635876815806366,-2.865972367205316e-07,-9.190600469555221e-08,-0.22635894124851097,J799-S_flow,J799-S,"('Fells Point', 'Northside, Drains to Harbor')"
121,0.0,-8.344208474042603e-05,-1.1015427419991397e-05,-0.005739589345225671,-0.0056676893503397885,J7-S_flow,J7-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
122,0.0,-0.7783074411227597,-4.379272287913238e-06,-0.09014462275935298,-0.8446119080072967,J801-S_flow,J801-S,"('Broadway East', 'Canal Street Creek')"
123,0.0,-0.37588610091734465,0.00011416959370924573,-0.011147414607259876,-0.3785898992926775,J80-S_flow,J80-S,"('Federal Hill', 'Southside, Drains to Harbor')"
124,0.0,3.2711170137034173e-05,-3.501512668968587e-05,-0.007963858921328004,-0.007489720282380041,J88-S_flow,J88-S,"('Federal Hill', 'Southside, Drains to Harbor')"
125,0.0,0.0008593073346767621,1.9996973999347745e-05,-0.0001074835249057493,0.0008610826872277322,J8-S_flow,J8-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
