,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood
21,J227-S_flow,3.2790961131470318,3.2790959376399837,3.2790960580071133,3.2792291389333688,3.2792286236170334,3.279096220592069,3.279229138181194,J227-S,"('Locust Point', 'Southside, Drains to Harbor')"
22,J231-S_flow,0.060399098634056,0.0603289641771149,0.0603520083558241,0.060329536703294,0.0603751956660781,0.0603293935717492,0.0603850717426678,J231-S,"('Locust Point', 'Southside, Drains to Harbor')"
23,J232-S_flow,0.0299949943066608,0.0299954270474108,0.0299949561218087,0.0300873176866715,0.0300892680980841,0.0299956976638082,0.0300876793314687,J232-S,"('Locust Point', 'Southside, Drains to Harbor')"
24,J234-S_flow,3.473588241917132,3.473588241917132,3.473588241917132,3.473588241917132,3.473588241917132,3.473588241917132,3.473588241917132,J234-S,"('Locust Point', 'Southside, Drains to Harbor')"
25,J238-S_flow,1.0525753891813814,1.0526222267334635,1.05261054542551,1.052586059606916,1.0526305384333534,1.052607063497178,1.0525841501623467,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,J240-S_flow,3.299044494036041,3.29980721378087,3.2996278012253275,3.2992816216208958,3.299963277190304,3.295712887957219,3.2953944946591864,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,J245-S_flow,2.6324358250249573,2.6324358096847447,2.632435982104407,2.432551038760377,2.432542762982825,2.626237417586094,2.4264892579239765,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,J253-S_flow,2.8766979638817927,2.471934739787869,2.9498672685203524,1.6338843102470804,1.6297979405279417,2.666173677883535,1.4570736052168334,J253-S,"('Eager Park', 'Canal Street Creek')"
29,J260-S_flow,3.69132974125927,3.69131338984749,3.718026654791061,3.348526565543068,3.348517595796413,3.622990274846,3.2676384338114235,J260-S,"('Broadway East', 'Canal Street Creek')"
30,J266-S_flow,2.1003243938937715,2.1009239811331315,2.1209353228142658,1.7608070224256402,1.7612301733120177,2.034699232018098,1.686740349929576,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,J268-S_flow,1.1950427984890315,1.1935089910303385,1.194012956338195,1.1935215119075522,1.1945200518653547,1.1544635122166054,1.155630933618386,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,J273-S_flow,0.6155579371930634,0.6148210989897848,0.615063202970862,0.6148271139955259,0.6153068107033746,0.6137653563538064,0.6143491431166305,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,J278-S_flow,3.096024272186716,3.096017360538782,3.375586835551857,2.158494058593164,2.1517304318740926,3.1163901567480807,2.0130927852823186,J278-S,"('Broadway East', 'Canal Street Creek')"
34,J27-S_flow,0.7402350556373598,0.7402587078062941,0.7402548174546794,0.7509807576070441,0.7509950228906183,0.7402506467261111,0.7509761049229813,J27-S,"('Locust Point', 'Southside, Drains to Harbor')"
35,J280-S_flow,3.423045438153772,3.423035023952283,3.689854248051223,2.4242867281874174,2.4208966067661475,3.4470314512790874,2.245375348428015,J280-S,"('Broadway East', 'Canal Street Creek')"
36,J328-S_flow,4.308007627761137,4.308007627761137,4.308007627761137,4.308007627761137,4.308007627761137,4.116330930301508,4.116330930301508,J328-S,"('Broadway East', 'Canal Street Creek')"
37,J329-S_flow,5.86934883304928,5.869180888198909,6.072550073574057,4.8372298676504295,4.832955935998665,5.69371239860202,4.539297886585102,J329-S,"('Broadway East', 'Canal Street Creek')"
38,J338-S_flow,3.65754103426108,3.6518120023669,3.799781176312965,2.502075485478604,2.499452211234684,3.4787275483471687,2.285598654103244,J338-S,"('Eager Park', 'Canal Street Creek')"
39,J33-S_flow,6.605982048928181,6.60598204861161,6.605982120510882,6.607321812127452,6.607321800152648,6.605982052265904,6.607321808366399,J33-S,"('Locust Point', 'Southside, Drains to Harbor')"
40,J34-S_flow,3.3228502947206016,3.3228502947206016,3.3228502947206016,3.3228502947206016,3.3228502947206016,3.3228502947206016,3.3228502947206016,J34-S,"('Locust Point', 'Southside, Drains to Harbor')"
41,J361-S_flow,4.713539135700192,4.563765155337398,4.73010759798613,3.343772390736259,3.341336233046837,4.56532158991635,3.2670318384781285,J361-S,"('Eager Park', 'Canal Street Creek')"
42,J366-S_flow,2.323270102664094,1.9843687963245016,2.382963868598216,1.0695446472314003,1.0646943022530948,2.146653016835661,0.9454579998926572,J366-S,"('Eager Park', 'Canal Street Creek')"
43,J385-S_flow,12.02075179524318,11.563396537887323,12.45439120525003,13.753939389030574,13.09919469803488,11.60158096078874,12.785814233387764,J385-S,"('Broadway East', 'Harris Creek')"
44,J3-S_flow,5.51206745085015,5.512067335719888,5.51206796519257,5.447569867517895,5.44756788643784,5.3722551838928,5.308216163502161,J3-S,"('Fells Point', 'Northside, Drains to Harbor')"
45,J413-S_flow,4.931719909751037,4.931719909751037,5.02913427231763,5.02913427231763,5.02913427231763,4.95009952199369,4.95009952199369,J413-S,"('Broadway East', 'Harris Creek')"
46,J421-S_flow,14.96364657539414,14.534345223498311,15.462523008648963,16.445654873516265,15.684483960791942,14.583049494408094,15.472614496699824,J421-S,"('McElderry Park', 'Harris Creek')"
47,J42-S_flow,3.2731159490597825,3.2731159490597825,3.2731159490597825,3.2731159490597825,3.2731159490597825,3.2731159490597825,3.2731159490597825,J42-S,"('Locust Point', 'Southside, Drains to Harbor')"
48,J433-S_flow,3.085787799629742,3.085787799629742,3.085787799629742,3.085787799629742,3.085787799629742,3.078297533413189,3.078297533413189,J433-S,"('Madison-Eastend', 'Harris Creek')"
49,J437-S_flow,2.7615702661037904,2.383448028527297,2.7615352869979044,2.7591709774584894,2.7590787020942327,2.757426404574721,2.755022396974716,J437-S,"('Patterson Park', 'Harris Creek')"
50,J438-S_flow,6.495448731465837,6.144764657422469,6.6909912668246925,4.779054724285262,4.500284342941036,6.309356845324742,4.532853695585316,J438-S,"('McElderry Park', 'Harris Creek')"
51,J450-S_flow,2.983838958050214,2.9838399864746563,2.98383788510166,2.98259938785356,2.9825994643927283,2.976638683101299,2.9754007925927954,J450-S,"('Madison-Eastend', 'Harris Creek')"
52,J456-S_flow,1.247638466352944,1.2476941009364992,1.2476802256446773,1.2476511408983584,1.2477039737402953,1.2476760897403842,1.2476488728218105,J456-S,"('Orangeville', 'Harris Creek')"
53,J45-S_flow,0.7237554914614176,0.7239036011836082,0.723866662547858,0.7237892334844586,0.7239298844436611,0.723855651992971,0.7237831954382303,J45-S,"('Locust Point', 'Southside, Drains to Harbor')"
54,J460-S_flow,2.272644373289588,2.27264303497307,2.272645580147513,1.9480655097773345,1.9480895843752732,2.2447902880838204,1.9229088624714277,J460-S,"('Orangeville', 'Harris Creek')"
55,J461-S_flow,5.041470383173384,5.041472058863121,5.041473037663051,4.73147408200057,4.731510562836894,5.010780715715173,4.701861618553243,J461-S,"('Baltimore Highlands', 'Harris Creek')"
56,J46-S_flow,2.5560316180936358,2.5560316180936358,2.5560316180936358,2.5560316180936358,2.5560316180936358,2.5479555483825025,2.5479555483825025,J46-S,"('Locust Point', 'Southside, Drains to Harbor')"
57,J471-S_flow,1.7498853165766517,1.7501595518436668,1.7500911574365454,1.7499477922370028,1.7502082170948876,1.7050166263404585,1.7048855462869954,J471-S,"('Orangeville', 'Harris Creek')"
58,J480-S_flow,5.0816589165157335,5.0816589165157335,5.0816589165157335,5.0816589165157335,5.0816589165157335,5.060383340346864,5.060383340346864,J480-S,"('McElderry Park', 'Harris Creek')"
59,J484-S_flow,5.622261284938111,5.6222476522796985,5.622266786716008,4.165201693695054,4.165210315261056,5.610428294144615,4.158241614403468,J484-S,"('Baltimore Highlands', 'Harris Creek')"
60,J491-S_flow,7.955965059869626,7.955957173051234,7.955962937011467,6.929967423470992,6.929978147779386,7.934258346750267,6.9134482250207485,J491-S,"('Kresson', 'Harris Creek')"
61,J492-S_flow,2.1521544488684987,2.1531850857987624,2.152928044454044,2.152389246250693,2.1533679806017347,2.152851426360907,2.152347229877037,J492-S,"('Baltimore Highlands', 'Harris Creek')"
62,J49-S_flow,1.8065512848073149,1.2189401774190352,1.8071160983704884,1.8067227138440607,1.807437302249865,1.7932836872635047,1.7929221846018966,J49-S,"('Washington Hill', 'Canal Street Creek')"
63,J4-S_flow,1.406127641869431,1.40625312353844,1.4062231524556068,1.4061824467530204,1.4062997647155746,1.406213281377098,1.406176632450585,J4-S,"('Canton', 'Northside, Drains to Harbor')"
64,J506-S_flow,2.269220781349484,2.2703026716134564,2.270032847662729,2.2694672551506283,2.270494661732243,2.267227573133156,2.266700356228641,J506-S,"('Baltimore Highlands', 'Harris Creek')"
65,J507-S_flow,4.9735570545519945,4.978227511960135,4.973585111852793,2.9669177543896943,2.96692059480491,4.96657132217867,2.9638168810181384,J507-S,"('Patterson Park', 'Harris Creek')"
66,J50-S_flow,2.6731748501651884,1.9278198592519915,2.673846578122385,2.6388112510927195,2.6396289150764827,2.661885783390367,2.626980909005983,J50-S,"('Washington Hill', 'Canal Street Creek')"
67,J512-S_flow,4.578438232229557,4.585190385586023,4.578445541395352,2.638186470266498,2.6381842827272712,4.570647847196286,2.6357231957289926,J512-S,"('Patterson Park', 'Harris Creek')"
68,J534-S_flow,4.844011731797328,4.8517228782750825,4.844015322242275,4.85571969103915,4.855714979920752,4.824977372935006,4.836235464650526,J534-S,"('Patterson Park', 'Harris Creek')"
69,J539-S_flow,3.5194469920037537,3.5194469875017758,3.5194471394888764,3.4065422789774957,3.4065422823992737,3.285733970735357,3.180549212125176,J539-S,"('Canton', 'Northside, Drains to Harbor')"
70,J541-S_flow,1.7072854860990134,1.7079675765309106,1.7077974628500538,1.7074408784036423,1.708088618957674,1.7077467558874908,1.707413071359656,J541-S,"('Canton Industrial Area', 'Northside, Drains to Harbor')"
71,J548-S_flow,5.462093822132248,5.462093822132248,5.462093822132248,5.462093822132248,5.462093822132248,5.104902671091607,5.104902671091607,J548-S,"('Canton', 'Northside, Drains to Harbor')"
72,J556-S_flow,2.62647881854842,2.6264786721266185,2.626479565066744,2.6282626389282853,2.6282608453488057,2.6264785614537534,2.628263218635977,J556-S,"('Canton', 'Harris Creek')"
73,J567-S_flow,2.672712050433541,2.672712054928234,2.672712016712892,2.671261934429056,2.671261966886596,2.656303721534812,2.6548959362399183,J567-S,"('Berea', 'Armistead Creek')"
74,J568-S_flow,2.8631252213786835,2.8635188176240525,2.86342235962456,2.515075374382668,2.5151924038258144,2.849503367861123,2.5027886562793817,J568-S,"('Berea', 'Armistead Creek')"
75,J571-S_flow,1.5047895796383726,1.5027773343597637,1.503438500665592,1.5027937608518338,1.5041037735944385,1.5027896542288162,1.504387130582651,J571-S,"('Berea', 'Armistead Creek')"
76,J576-S_flow,1.4036287391985784,1.3254192626955297,1.415991729842782,0.2718362908463015,0.2713486860245607,1.3313687796498197,0.2552104132334867,J576-S,"('Dunbar-Broadway', 'Canal Street Creek')"
77,J578-S_flow,3.6015458209013227,3.600441589899058,3.6016001271005984,3.519733225977089,3.5197341250721776,3.597592187324363,3.51949409134805,J578-S,"('Dunbar-Broadway', 'Canal Street Creek')"
