,node_name,BGN,BGNx3,Base,I,UG,V,V&I,node_id,neighborhood,historic_stream
42,J366-S_depth,0.2381731935271342,0.2261989805052535,0.243932814391793,0.1872078224194974,0.2439088777702866,0.2294553321586593,0.1768928405014001,J366-S,Eager Park,Canal Street Creek
43,J385-S_depth,0.2264500029589359,0.2227770415048947,0.2298213401852131,0.2494733640376523,0.2254982504150413,0.2204301381339054,0.2396159849516463,J385-S,Johnston Square,Harris Creek
44,J3-S_depth,0.2579155773751279,0.2579154755594281,0.2579156644350301,0.2108363010310247,0.2579150704307549,0.2526672971703793,0.2077672776870286,J3-S,Fells Point,"Northside, Drains to Harbor"
45,J413-S_depth,0.1538845219867421,0.1538902573505012,0.1551013695978867,0.1551695093975088,0.155102848671105,0.1541352864139568,0.1541996009605337,J413-S,Broadway East,Harris Creek
46,J421-S_depth,0.2647668097315895,0.2612983379521841,0.2682499993901038,0.24324277359837,0.2635328708085843,0.2565055229806459,0.2303237991086654,J421-S,McElderry Park,Harris Creek
47,J42-S_depth,0.0992767763603394,0.0992767783961173,0.0992767781488581,0.0992774883492938,0.0992767755115853,0.0988640452145807,0.0988649196042469,J42-S,Locust Point,"Southside, Drains to Harbor"
48,J433-S_depth,0.1459531649286539,0.1459527305257976,0.1459535673607908,0.1463864847490747,0.1459534466940051,0.1458049350335458,0.1462380559780145,J433-S,Madison-Eastend,Harris Creek
49,J437-S_depth,0.1776885541273365,0.1644786082256833,0.1807594704481118,0.1237729969542776,0.1769095931120062,0.1701487698522937,0.1210821133935809,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.4471521750464511,0.4378296709279813,0.4558104955623641,0.313660909981882,0.4438027151701241,0.427152763980101,0.2889353373090939,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.1250760438678986,0.1250778161917741,0.1250741259275601,0.1232046637861001,0.1250746133250137,0.1249638632872679,0.1230931904151931,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.1607301400953952,0.1607302686485389,0.1607545401315559,0.1630266263735776,0.1607409725602454,0.1603297187061621,0.1626359865033376,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.086749850034174,0.0867498144784223,0.0867498678138091,0.0867769689284149,0.0867495442670335,0.0867497499220671,0.0867768088238272,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1258527871455614,0.1258527832380557,0.1258527950376976,0.1234961723524516,0.1258527565716155,0.1243368698121875,0.1219946843812158,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.2052712940012584,0.2052730991018042,0.2052732449796196,0.195447597008211,0.205273157177337,0.2039515366861191,0.1942181621264605,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1219895604672408,0.1219895593809531,0.1219895592068494,0.1219896014889612,0.121989557219892,0.1213386223162476,0.1213386221554124,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.2595718949841263,0.2595718713453626,0.2595719803019607,0.2606019478399224,0.2595715785162671,0.2509637678564324,0.2519847030089857,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.182146763919341,0.1821597836790521,0.1821467326367852,0.1822130871516716,0.1821466562938684,0.1813270614026917,0.1813938287511089,J480-S,McElderry Park,Harris Creek
