,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
14,J177-S_depth,0.135739638628758,0.1357395486113518,0.1357398154507724,0.1357837717808317,0.1357828816179503,0.1357067904238664,0.1357505178690948,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.2525132153329048,0.2525131891340466,0.2525131941546978,0.2093999003104302,0.209399892291864,0.251898117892513,0.208858212210132,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1681452362236819,0.1681452321815587,0.1681452514755516,0.1625516310868402,0.1625515840955985,0.168145234277532,0.1625516112569168,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.096132906738787,0.0961328713099135,0.0961319704727422,0.0962235558336532,0.0962235642923258,0.0961379540846146,0.0962546108312701,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1184992055204915,0.1184992055104297,0.118499206622762,0.1184992946642234,0.1184992940152617,0.1184992054774051,0.118499294523767,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.1907810711502421,0.1907810708949842,0.190781074945013,0.1927433205477656,0.1927433680352617,0.1877840315767025,0.1895485501751814,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1486827720774481,0.1347167709712166,0.1486826935414174,0.124675803708119,0.1246756258662414,0.1484678242560426,0.1244595595486985,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3395755994542585,0.3395755932637755,0.339575663002282,0.3252806985960706,0.3252806691673445,0.3395756109665118,0.3252806992694041,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0382230179323989,0.0382227992678833,0.0382226390966334,0.038201770172624,0.0382024949748823,0.0382224518726817,0.0382018897298834,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.0111629885662492,0.0111628168266429,0.0111629315391223,0.0111421130308577,0.0111417057834991,0.0111630972386061,0.0111421151328716,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.1419302122893515,0.1419302122843621,0.14193021352297,0.1419510734443035,0.1419510732385468,0.1419302123465539,0.1419510733797195,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0896923849359358,0.0896923772882549,0.0896923700157234,0.0896924171418349,0.0896924958224745,0.0896924042976859,0.0896924430781202,J238-S,Locust Point,"Southside, Drains to Harbor"
