,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood,historic_stream
34,0.0,-0.023991924232769607,1.3714830669753209e-07,-8.13550602024593e-08,-0.023991911623948606,J27-S_depth,J27-S,Locust Point,"Southside, Drains to Harbor"
35,0.0,-0.0428864494063641,-0.00039679292891892093,-0.009281506340774015,-0.05107663664910189,J280-S_depth,J280-S,Broadway East,Canal Street Creek
36,0.0,0.006267799852265277,2.4698706504622248e-05,-0.005415461392602905,0.0007038303832108128,J328-S_depth,J328-S,Broadway East,Canal Street Creek
37,0.0,-0.029363714041442807,-8.37361100818057e-05,-0.006120239281178996,-0.0348951184117032,J329-S_depth,J329-S,Broadway East,Canal Street Creek
38,0.0,-0.0544765846961473,-0.00031088098702508615,-0.01156244135874851,-0.06428385891718419,J338-S_depth,J338-S,Eager Park,Canal Street Creek
39,0.0,-0.027016114558711612,-4.296231642664239e-08,5.728039154107023e-10,-0.027016127360544095,J33-S_depth,J33-S,Locust Point,"Southside, Drains to Harbor"
40,0.0,7.871410589999073e-07,-6.418181988654403e-08,1.4643821516502342e-08,7.870691911271432e-07,J34-S_depth,J34-S,Locust Point,"Southside, Drains to Harbor"
41,0.0,-0.03261930652755041,-0.00026447477670760167,-0.005464922575112302,-0.0349954270100139,J361-S_depth,J361-S,Eager Park,Canal Street Creek
42,0.0,-0.056803411919544494,-0.00039334754848430187,-0.007453297749148907,-0.0624389325335965,J366-S_depth,J366-S,Eager Park,Canal Street Creek
43,0.0,0.02481229952655939,-0.006736827910753362,-0.011474463783625488,0.011781605889131797,J385-S_depth,J385-S,Broadway East,Harris Creek
44,0.0,-0.03953415749860188,-1.9696503478217053e-07,-0.0021922331087946,-0.041172388862941195,J3-S_depth,J3-S,Fells Point,"Northside, Drains to Harbor"
45,0.0,0.00010118959304392106,4.270116590820994e-06,-0.001066888428686491,-0.0009610973375434873,J413-S_depth,J413-S,Broadway East,Harris Creek
46,0.0,-0.021223948716896507,-0.007102425932720785,-0.007239210429297704,-0.028012555030475006,J421-S_depth,J421-S,McElderry Park,Harris Creek
47,0.0,3.1853560243932932e-06,-1.4754514500447957e-07,4.04508302964679e-08,3.185366090702191e-06,J42-S_depth,J42-S,Locust Point,"Southside, Drains to Harbor"
48,0.0,0.0014504583961963968,-2.72482851004785e-07,-0.00017410902473050105,0.001275435056586005,J433-S_depth,J433-S,Madison-Eastend,Harris Creek
49,0.0,-0.0063515800680656875,5.3299557382924245e-06,-0.0001619088813474001,-0.0064862908032093936,J437-S_depth,J437-S,Patterson Park,Harris Creek
50,0.0,-0.0956379663189896,-0.009777614955174901,-0.010039024525618695,-0.1007232655093302,J438-S_depth,J438-S,McElderry Park,Harris Creek
51,0.0,-0.005791112793312805,1.2895894731940194e-06,-0.00013072403928529597,-0.005920125215341507,J450-S_depth,J450-S,Madison-Eastend,Harris Creek
52,0.0,0.007268002902261289,4.785957019609599e-06,8.379578120040754e-05,0.0073305164403172085,J456-S_depth,J456-S,Orangeville,Harris Creek
53,0.0,0.003275349857312995,-5.202879770072055e-07,-1.1102714771171751e-07,0.00327519718746129,J45-S_depth,J45-S,Locust Point,"Southside, Drains to Harbor"
54,0.0,-0.0071117764701875835,3.9981548291545543e-07,-0.0005482292335217964,-0.007644937572267085,J460-S_depth,J460-S,Orangeville,Harris Creek
55,0.0,-0.02768265546529572,-6.1882924668188455e-06,-0.0004277311521924121,-0.028062161652626316,J461-S_depth,J461-S,Baltimore Highlands,Harris Creek
56,0.0,1.2634007384160206e-06,-3.322578271958143e-07,-0.00010021174366589558,-9.898309398270744e-05,J46-S_depth,J46-S,Locust Point,"Southside, Drains to Harbor"
57,0.0,0.0032511803602437994,1.6058013230790813e-06,-0.0032875168011080036,-6.585173433520941e-05,J471-S_depth,J471-S,Orangeville,Harris Creek
58,0.0,0.0008378869811056788,-1.7655554456208478e-06,-0.00033718146915812097,0.0004975067893879803,J480-S_depth,J480-S,McElderry Park,Harris Creek
59,0.0,-0.046543300869660215,-3.1105966691313824e-08,-0.0003124794130646147,-0.04677208923514062,J484-S_depth,J484-S,Baltimore Highlands,Harris Creek
60,0.0,-0.035963198558334214,2.182774332948334e-07,-0.0002682039558105087,-0.03616771767043592,J491-S_depth,J491-S,Kresson,Harris Creek
61,0.0,6.452362134035106e-07,-2.632548437020432e-07,-8.854251901113663e-09,6.414184818004376e-07,J492-S_depth,J492-S,Baltimore Highlands,Harris Creek
62,0.0,1.1364285595893975e-08,-2.1177212890244324e-07,-0.0003523769668953014,-0.0003523330095528132,J49-S_depth,J49-S,Washington Hill,Canal Street Creek
63,0.0,-0.0050537097512291795,2.5171349694042e-06,6.139168073071577e-07,-0.0050534368646590055,J4-S_depth,J4-S,Canton,"Northside, Drains to Harbor"
64,0.0,0.0018415923353655994,4.1409884590781765e-07,-5.8526592606911176e-05,0.0017490944770685024,J506-S_depth,J506-S,Baltimore Highlands,Harris Creek
65,0.0,-0.05722462713067533,-2.0438479630957573e-08,-0.00020079398900801904,-0.05733464543541353,J507-S_depth,J507-S,Patterson Park,Harris Creek
66,0.0,-0.0006261675190062932,3.266040310423435e-08,-0.00026761291227719863,-0.0008934313427151064,J50-S_depth,J50-S,Washington Hill,Canal Street Creek
67,0.0,-0.0538978611079248,-4.03368984880359e-08,-7.253639646440102e-05,-0.05396616139291259,J512-S_depth,J512-S,Patterson Park,Harris Creek
68,0.0,0.06324411908857899,-1.2777638639105415e-06,-0.000545911396380605,0.061379824250545306,J534-S_depth,J534-S,Patterson Park,Harris Creek
69,0.0,-0.013186619984095593,-1.7574085409144402e-08,-0.01154299033005668,-0.024617088909764606,J539-S_depth,J539-S,Canton,"Northside, Drains to Harbor"
70,0.0,3.678898328729474e-05,8.537369058925215e-07,4.221580706953443e-07,3.7052403451198757e-05,J541-S_depth,J541-S,Canton Industrial Area,"Northside, Drains to Harbor"
71,0.0,0.000763310773301884,9.247602683615241e-12,-0.010688694387230746,-0.009998815443004017,J548-S_depth,J548-S,Canton,"Northside, Drains to Harbor"
72,0.0,-0.016464494396471074,-4.508981882866969e-07,-2.4961025302250306e-08,-0.016464542834025764,J556-S_depth,J556-S,Canton,Harris Creek
73,0.0,-0.010634883773828901,-1.1185929960078056e-10,-0.00031354829343899215,-0.010931471682386798,J567-S_depth,J567-S,Berea,Armistead Creek
74,0.0,-0.053177894455731206,1.518434507408184e-06,-0.000460736685445412,-0.05355916974146149,J568-S_depth,J568-S,Berea,Armistead Creek
75,0.0,7.739878062208716e-05,-9.629402345084914e-07,-3.1497282000636506e-07,7.973691235668712e-05,J571-S_depth,J571-S,Berea,Armistead Creek
76,0.0,-0.08169937984957301,-0.00019513008184660063,-0.004525143400836207,-0.08361342841520071,J576-S_depth,J576-S,Dunbar-Broadway,Canal Street Creek
77,0.0,-0.030832477759838994,-1.394512843810869e-07,-6.616983571777757e-05,-0.03082874739695779,J578-S_depth,J578-S,Dunbar-Broadway,Canal Street Creek
78,0.0,-0.025377430245049102,-1.6934296990372966e-07,-0.00037249797667070206,-0.0255572464045155,J586-S_depth,J586-S,Dunbar-Broadway,Canal Street Creek
79,0.0,0.004793009439775897,-1.9796704220365058e-07,-0.0039331196611273045,0.0007621676543383971,J587-S_depth,J587-S,Downtown,"Southside, Drains to Harbor"
80,0.0,-0.019111780301335105,1.8495559292452945e-08,-0.00034965275185420974,-0.0194457301649925,J592-S_depth,J592-S,Dunbar-Broadway,Canal Street Creek
81,0.0,-0.027347358526663312,2.31003083658865e-06,5.372558297966901e-07,-0.027347189694528318,J5-S_depth,J5-S,Canton,"Northside, Drains to Harbor"
82,0.0,0.0014368178616133986,-1.5041715571983971e-06,-1.6027876856006262e-06,0.001434665337298191,J609-S_depth,J609-S,Dunbar-Broadway,Canal Street Creek
83,0.0,8.26091324767908e-05,-7.969252210082711e-07,-0.00023201094293109903,-0.00014955390264240198,J60-S_depth,J60-S,Downtown,"Southside, Drains to Harbor"
84,0.0,-0.000574346883792709,-1.020334367385356e-06,6.794270774879152e-07,-0.0005736351313032906,J619-S_depth,J619-S,Dunbar-Broadway,Canal Street Creek
85,0.0,0.018286531805341733,-0.007758760352220617,-0.017678878375880724,0.0020940388827396794,J620-S_depth,J620-S,Broadway East,Harris Creek
86,0.0,0.0214147922977852,-0.0053374494601508005,-0.014738444177531174,0.006750554371909412,J624-S_depth,J624-S,Broadway East,Harris Creek
87,0.0,-0.025032429813431623,-5.931849543228118e-07,-0.0004634392677282384,-0.02548065447020592,J62-S_depth,J62-S,Downtown,"Southside, Drains to Harbor"
88,0.0,0.004112682213559107,1.906576365118262e-07,-0.00029226903105170066,0.0038055168234484016,J632-S_depth,J632-S,Eager Park,Canal Street Creek
89,0.0,-0.052763567653462684,-0.00026112684009887976,-0.004814021418051595,-0.054823331357927996,J637-S_depth,J637-S,Eager Park,Canal Street Creek
90,0.0,-0.06170849968000909,-0.0001931292294959086,-0.0040012591776857065,-0.0637696781510414,J640-S_depth,J640-S,Eager Park,Canal Street Creek
91,0.0,0.008937864079428898,-6.288785239783046e-08,-4.530657490239842e-05,0.008878802852219009,J659-S_depth,J659-S,Baltimore Highlands,Harris Creek
92,0.0,-0.0186697643518213,-0.00011238763228510473,-5.3855514268980054e-05,-0.018714923583750487,J672-S_depth,J672-S,Canton,Harris Creek
93,0.0,3.189809506018437e-05,-1.5313652318438287e-08,-1.9931627015523645e-08,3.189067249478872e-05,J675-S_depth,J675-S,Canton,Harris Creek
94,0.0,0.007957288750839508,-4.831514601177922e-07,-1.1226420451593278e-07,0.007957283713413393,J686-S_depth,J686-S,Canton,Harris Creek
95,0.0,0.0003852618798757014,5.862865767002068e-07,1.3302408930285226e-07,0.0003856427989468031,J694-S_depth,J694-S,Canton,Harris Creek
96,0.0,-0.028725350384637208,9.673953886013553e-07,-3.358712211132264e-08,-0.02872574542774771,J695-S_depth,J695-S,Canton,Harris Creek
97,0.0,0.0006554095708648788,-2.845327101153039e-07,-0.00013798561710481883,0.0005175091537986953,J712-S_depth,J712-S,Patterson Park,Harris Creek
98,0.0,0.003852161691185796,4.155688029805482e-08,-2.2051519787791296e-05,0.0038301467693201974,J714-S_depth,J714-S,Upper Fells Point,"Northside, Drains to Harbor"
99,0.0,-0.035377932649768795,6.1944187298990094e-06,-0.0005411103281852125,-0.03547552470530271,J71-S_depth,J71-S,Federal Hill,"Southside, Drains to Harbor"
100,0.0,0.0016456346732525023,-4.350358625976325e-07,-1.6597718349720125e-07,0.0016456244437009077,J722-S_depth,J722-S,Fells Point,"Northside, Drains to Harbor"
101,0.0,5.816855899731799e-09,-1.3665106909921398e-07,-0.0005287698783646988,-0.000528755585544799,J72-S_depth,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,0.0,-0.038189528529154304,-2.7959238191321845e-07,-2.4069718290387065e-05,-0.03821414388306901,J732-S_depth,J732-S,Fells Point,"Northside, Drains to Harbor"
103,0.0,6.240420172778927e-05,-2.424042191973008e-07,-7.843033569820967e-08,6.237436388428774e-05,J733-S_depth,J733-S,Canton,"Northside, Drains to Harbor"
104,0.0,-0.0233976441846782,-4.4252273419947974e-07,-0.0001995784749629012,-0.0234174426672297,J748-S_depth,J748-S,Washington Hill,Canal Street Creek
105,0.0,-0.014500870970902607,-1.06766806859393e-06,-0.0002043976520832158,-0.014701923217229795,J749-S_depth,J749-S,Fells Point,Canal Street Creek
106,0.0,0.0008353057388919005,-5.499767308236869e-14,-1.0179357357031904e-13,0.0008353842494435992,J751-S_depth,J751-S,Fells Point,"Northside, Drains to Harbor"
107,0.0,0.009180342807637881,6.68582111895688e-08,-0.0021614907569414143,0.006834636043415582,J756-S_depth,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,0.0,-0.007471560766006288,-1.4226879099799028e-07,-1.8035397428284305e-07,-0.007471522029599192,J758-S_depth,J758-S,Fells Point,"Northside, Drains to Harbor"
109,0.0,-0.007815235927404601,-1.0026320239331366e-07,6.498863960868739e-08,-0.007815254728760893,J760-S_depth,J760-S,Fells Point,"Northside, Drains to Harbor"
110,0.0,-0.07158953844825669,-4.3953650449846116e-07,-0.0003151805726701873,-0.0718096771563527,J761-S_depth,J761-S,Fells Point,Canal Street Creek
111,0.0,5.939332231030825e-07,-1.1452892770269507e-07,-7.810346221009956e-05,-7.752217051010257e-05,J762-S_depth,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,0.0,-0.010114189329510304,-3.5304626080923107e-07,2.9361684628081974e-07,-0.010114199616329603,J764-S_depth,J764-S,Fells Point,"Northside, Drains to Harbor"
113,0.0,-0.027817413145194404,-2.922596719079351e-07,-1.4222875199809693e-07,-0.027817486764839507,J765-S_depth,J765-S,Fells Point,"Northside, Drains to Harbor"
114,0.0,-0.0030024588754964943,-3.692790517817457e-11,-0.006648959938269583,-0.009541326514540482,J772-S_depth,J772-S,Canton,"Northside, Drains to Harbor"
115,0.0,0.00011900078922529728,-4.2124865889801855e-05,-1.9478731531200055e-05,0.00010538978514500197,J782-S_depth,J782-S,Patterson Park,Harris Creek
116,0.0,0.0023869831113479123,9.394349187452633e-11,-0.0002802172322785845,0.0021022021824997905,J787-S_depth,J787-S,Berea,Armistead Creek
117,0.0,-0.0254253496438121,-8.543168339425478e-08,-0.00019950123398300434,-0.025603165394732508,J789-S_depth,J789-S,Dunbar-Broadway,Canal Street Creek
118,0.0,5.110898436716527e-06,-3.5493651620588373e-07,-9.864916127930168e-05,-9.355442767239319e-05,J78-S_depth,J78-S,Federal Hill,"Southside, Drains to Harbor"
119,0.0,0.006056602020482027,-4.941836936001032e-06,-7.642599335055955e-07,0.006056734801322794,J792-S_depth,J792-S,Canton,"Northside, Drains to Harbor"
120,0.0,-0.030286163845462094,-8.298801609796236e-08,-2.339716009824855e-08,-0.030286179397437496,J799-S_depth,J799-S,Fells Point,"Northside, Drains to Harbor"
121,0.0,-0.002852378655586907,-7.003333318822413e-08,-0.0002211501460873122,-0.0030745180527989024,J7-S_depth,J7-S,Canton Industrial Area,"Northside, Drains to Harbor"
122,0.0,-0.031578755734088,-1.585236682893898e-07,-0.0021303430267612944,-0.03361901278611,J801-S_depth,J801-S,Broadway East,Canal Street Creek
123,0.0,-0.006696131987255702,1.92336350589295e-06,-0.00018255219631890807,-0.006745626320051809,J80-S_depth,J80-S,Federal Hill,"Southside, Drains to Harbor"
124,0.0,-0.00646678426663061,-9.5916942061125e-07,-0.00025530215468250184,-0.006721645405263821,J88-S_depth,J88-S,Federal Hill,"Southside, Drains to Harbor"
125,0.0,-0.0014223010369741051,-1.6807785426786737e-06,-4.137999808917492e-07,-0.0014229107358590953,J8-S_depth,J8-S,Canton Industrial Area,"Northside, Drains to Harbor"
