,node_name,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
49,J437-S_depth,0.1435814825952938,0.1372299025272281,0.1435868125510321,0.1434195737139464,0.1370951917920844,J437-S,Patterson Park,Harris Creek
50,J438-S_depth,0.2291689671461798,0.1335310008271902,0.2193913521910049,0.2191299426205611,0.1284457016368496,J438-S,McElderry Park,Harris Creek
51,J450-S_depth,0.124578760009143,0.1187876472158302,0.1245800495986162,0.1244480359698577,0.1186586347938015,J450-S,Madison-Eastend,Harris Creek
52,J456-S_depth,0.17947265272863,0.1867406556308913,0.1794774386856496,0.1795564485098304,0.1868031691689472,J456-S,Orangeville,Harris Creek
53,J45-S_depth,0.0930500498984422,0.0963253997557552,0.0930495296104652,0.0930499388712945,0.0963252470859035,J45-S,Locust Point,"Southside, Drains to Harbor"
54,J460-S_depth,0.1298589978990413,0.1227472214288537,0.1298593977145242,0.1293107686655195,0.1222140603267742,J460-S,Orangeville,Harris Creek
55,J461-S_depth,0.1697964529078843,0.1421137974425886,0.1697902646154175,0.1693687217556919,0.141734291255258,J461-S,Baltimore Highlands,Harris Creek
56,J46-S_depth,0.1274827472574914,0.1274840106582298,0.1274824149996642,0.1273825355138255,0.1273837641635087,J46-S,Locust Point,"Southside, Drains to Harbor"
57,J471-S_depth,0.2744981367580609,0.2777493171183047,0.274499742559384,0.2712106199569529,0.2744322850237257,J471-S,Orangeville,Harris Creek
58,J480-S_depth,0.211401039288854,0.2122389262699597,0.2113992737334084,0.2110638578196959,0.211898546078242,J480-S,McElderry Park,Harris Creek
59,J484-S_depth,0.2505316096314361,0.2039883087617759,0.2505315785254694,0.2502191302183715,0.2037595203962955,J484-S,Baltimore Highlands,Harris Creek
60,J491-S_depth,0.1898801299410584,0.1539169313827242,0.1898803482184917,0.1896119259852479,0.1537124122706225,J491-S,Kresson,Harris Creek
61,J492-S_depth,0.1012057125656658,0.1012063578018792,0.1012054493108221,0.1012057037114139,0.1012063539841476,J492-S,Baltimore Highlands,Harris Creek
62,J49-S_depth,0.1131970085368132,0.1131970199010988,0.1131967967646843,0.1128446315699179,0.1128446755272604,J49-S,Washington Hill,Canal Street Creek
63,J4-S_depth,0.1909881513405658,0.1859344415893366,0.1909906684755352,0.1909887652573731,0.1859347144759068,J4-S,Canton,"Northside, Drains to Harbor"
64,J506-S_depth,0.2057416173044278,0.2075832096397934,0.2057420314032737,0.2056830907118209,0.2074907117814963,J506-S,Baltimore Highlands,Harris Creek
