,link_name,Base,I,UG+I,V,V&I,link_id,neighborhood
55,C474-S_velocity,0.0017299362549535,0.0014302251542137,0.0017299362603752,0.001720370932563,0.00142043355699,C474-S,Berea
56,C478-S_velocity,0.0024306668015206,0.0024603473773246,0.0024317873552626,0.002430401075312,0.0024607152049136,C478-S,Orangeville
57,C530-S_velocity,0.0021055321359366,0.0015808756315078,0.0021018592816461,0.0020313582772465,0.0015447291029729,C530-S,Eager Park
58,C532-S_velocity,0.0005611660598144,0.000168651852622,0.0005581965480814,0.0005047230400447,0.0001410115713169,C532-S,Eager Park
59,C548-S_velocity,0.0006736628823053,0.0001879873753186,0.0006717243665918,0.0006307817048522,0.0001788547418457,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0011992761963595,9.296877954846715e-05,0.0011945720494831,0.0010920912925121,8.456494474229107e-05,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0034461260292569,0.0034427153938045,0.0034460916111155,0.0034461320822009,0.0034427155867173,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.0016537511755381,0.0016681492400593,0.0016537005739388,0.0016535774667092,0.0016681421686941,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.0012760570364343,0.0005418151511867,0.0012729895499822,0.0012194415988063,0.0005180447092305,C556-S,Eager Park
64,C576-S_velocity,0.0003946595546184,0.0002414584758712,0.0003946590958003,0.000394181553619,0.0002414944882616,C576-S,Dunbar-Broadway
65,C602-S_velocity,0.0016009712239733,0.0016888732522735,0.0016009715239375,0.0015585468510624,0.0016504392784419,C602-S,Downtown
66,C638-S_velocity,0.0004718348434494,0.0004418720411168,0.0004718358820039,0.0004704336470271,0.0004413780958656,C638-S,Downtown
67,C650-S_velocity,0.0020474853743602,0.0021299284043574,0.002047461277411,0.002043155875796,0.0021257463487243,C650-S,Downtown
68,C659-S_velocity,0.0012056300937279,0.001227327800184,0.0012056280913092,0.0011637664791502,0.0011949339156557,C659-S,Downtown
69,C65-S_velocity,0.0019362169081929,0.0016170403191341,0.0018543113174896,0.0018529139831534,0.0015364451105106,C65-S,McElderry Park
70,C677-S_velocity,0.0019072589616746,0.0020098361452918,0.0019072563148637,0.0019121661547542,0.0020158298583607,C677-S,Downtown
71,C681-S_velocity,0.0005965143655546,0.0003295959094521,0.0005965142772945,0.0005743332322723,0.0003035180404704,C681-S,Downtown
