,BGN,BGNx3,Base,I,UG+I,V,V&I,link_name,link_id,neighborhood
26,2.484962916700015e-06,2.385993639400074e-06,0.0,2.6522620702000067e-05,4.264500307700025e-06,-2.04815429829e-05,1.0807573847100094e-05,C279-S_velocity,C279-S,Broadway East
27,-0.0001364974794343999,-0.00013670695330690033,0.0,-0.0004789796542302,-1.0823249559000284e-05,-0.0001478079385156001,-0.0006293958662459001,C27-S_velocity,C27-S,Broadway East
28,-4.093414056960008e-05,-9.08642834910006e-06,0.0,-0.00022292989115550005,-6.27038485892001e-05,-6.583459194180012e-05,-0.00027723268198610006,C292-S_velocity,C292-S,Broadway East
29,-3.092736820001175e-08,2.060270799992582e-09,0.0,7.783480069999517e-08,2.065142739996785e-08,-1.068577849340003e-05,-1.0587281041700002e-05,C2-S_velocity,C2-S,South Clifton Park
30,-2.9671190904499885e-05,-6.431899077920006e-05,0.0,0.00023497831688759998,-5.665790855260001e-05,-8.358662145410006e-05,0.00013864817238540012,C301-S_velocity,C301-S,Eager Park
31,-3.579871440007477e-08,-6.955079000789746e-10,0.0,5.642167359999053e-07,6.013264599907982e-09,-2.3844663186800043e-05,-2.3287462396100016e-05,C314-S_velocity,C314-S,Dunbar-Broadway
32,1.0920844899838661e-08,-3.5722543000916984e-09,0.0,-0.0002646840172097001,-2.118918500013632e-08,-4.1590099378700134e-05,-0.0003013534702919001,C317-S_velocity,C317-S,Dunbar-Broadway
33,1.2384159000047336e-08,9.156412860008515e-08,0.0,-0.00023072031255739995,5.79647822700007e-07,-2.335179752229995e-05,-0.00024838517134549996,C319-S_velocity,C319-S,Washington Hill
34,-2.162516281400007e-06,-1.1479654937899923e-05,0.0,-0.0002947443195572,-3.887707607639994e-05,-3.169425579379996e-05,-0.00031283960788099996,C321-S_velocity,C321-S,Washington Hill
35,-7.410397934500034e-06,-8.650290790400026e-06,0.0,-0.0006003168146061001,-5.902027806680007e-05,-5.7326929168400004e-05,-0.0006226904794561,C325-S_velocity,C325-S,Fells Point
36,-2.2441377080066605e-07,-0.0007518760622913,0.0,-0.0008591417218723005,-2.2927967762599935e-05,-0.00013108074954570025,-0.0009867682897855999,C327-S_velocity,C327-S,Fells Point
37,-6.403351120003176e-08,-0.00029855103341790016,0.0,-0.00033118436253240014,-7.213407565799957e-06,-5.1917435391500046e-05,-0.00037868221242750005,C328-S_velocity,C328-S,Fells Point
38,1.7964939959995777e-07,-0.00042497182311900005,0.0,1.4154816999935316e-08,-9.943130999546385e-10,-1.0616936044100054e-05,-1.052742751540001e-05,C338-S_velocity,C338-S,Washington Hill
39,-3.0124777800110206e-08,-0.0003683096965972001,0.0,-2.1295151773100115e-05,2.5828538189991146e-07,-5.9294445157399974e-05,-8.638612444410014e-05,C340-S_velocity,C340-S,Fells Point
40,8.903630960001253e-08,1.0444579700002055e-07,0.0,2.0981731549998524e-07,-2.809877600019016e-09,-1.1439973194399982e-05,-1.1175078503599984e-05,C34-S_velocity,C34-S,South Clifton Park
