,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
42,C355-S_velocity,13.895143183388,13.89513867265732,13.895139792124152,12.078015642276412,13.895137758140567,13.777281418487805,11.907167256676711,C355-S,Fells Point
43,C361-S_velocity,22.16025876745317,22.160701244904416,22.16070876187163,22.16065184688285,22.160787756091448,21.99359880247424,21.993645389160346,C361-S,Fells Point
44,C362-S_velocity,19.44593833990225,19.44684696657303,19.446872998757847,18.787989104517848,19.447004127297504,19.22622604337724,18.585412882056296,C362-S,Fells Point
45,C37-S_velocity,24.76556389935579,24.766732049926947,25.11640647803741,23.653961189804647,25.149448468627888,23.912558618639256,22.51035176212052,C37-S,South Clifton Park
46,C382-S_velocity,21.669114138269805,21.66644576272524,21.66675732268085,22.02076176521748,21.66589755771472,21.68340687230629,22.018477746297105,C382-S,Canton
47,C3-S_velocity,58.73542656807646,58.73540840570225,58.73542600584536,59.6804827465177,58.73536535425948,57.162993772321,58.08705106870389,C3-S,Upper Fells Point
48,C417-S_velocity,56.383158010756205,56.38309893496963,56.383097125260754,56.36442195515356,56.38308998050473,52.08005406979565,52.05994922429407,C417-S,Canton Industrial
49,C418-S_velocity,43.80624823127692,43.810303119171365,43.81038631851311,40.02243116803974,43.81105531186052,40.36353228753195,36.87182733560844,C418-S,Canton Industrial
50,C422-S_velocity,24.0566352155295,24.053352303787708,24.053575315354514,24.057134914581177,24.053502906817457,24.01755967556716,24.02244566568767,C422-S,Canton Industrial
51,C449-S_velocity,50.21497736092755,50.22391164299872,51.16269456286422,51.21511621693109,51.172357323373625,50.41126291822764,50.4613045362513,C449-S,Broadway East
52,C462-S_velocity,93.33226312074538,90.26864168712076,96.308612868561,114.4445064378978,94.37849086950384,88.67581736945118,105.23921770412475,C462-S,Eager Park
53,C463-S_velocity,102.18648477592248,99.00145648322304,105.01081937235368,126.54681794261218,104.45921202072924,96.60879106185574,116.41829652509388,C463-S,Eager Park
54,C473-S_velocity,28.77040523418156,28.772736139404124,28.772775620305964,28.772476384071545,28.773190808221795,28.5950187215834,28.595163008921023,C473-S,Berea
55,C474-S_velocity,24.874098677371347,24.87625669980126,24.8762999189886,23.762065405073898,24.876667483655226,24.70874574780365,23.599546783013984,C474-S,Berea
56,C478-S_velocity,15.447659918766488,15.447642245364223,15.447645846297837,15.447609831142875,15.447635923812337,15.28591171656158,15.285884263540895,C478-S,Orangeville
57,C530-S_velocity,79.05639217985767,74.05038123104345,81.29812128022884,58.28461825634284,77.93822667377098,74.08473990732905,54.246155030844506,C530-S,Eager Park
58,C532-S_velocity,51.84757425886474,46.389624846196135,54.56597689139966,30.620190420013536,50.6218744283279,47.84089831283552,26.953175884585644,C532-S,Eager Park
59,C548-S_velocity,50.40406774309215,46.511949093035255,51.69497201569661,27.511128808228545,49.9765217703699,46.10036270657806,25.48589147613846,C548-S,Dunbar-Broadway
60,C549-S_velocity,39.77839949007948,35.91547807951218,41.380266304217606,17.89634374804352,35.21855027225412,35.861253556198854,16.570745376429564,C549-S,Dunbar-Broadway
61,C550-S_velocity,39.77808604354666,39.77807033398389,39.77806864130781,39.77555610328345,39.77810012799541,38.40763131256451,38.40486922948029,C550-S,Dunbar-Broadway
62,C551-S_velocity,37.15983088965394,37.161413084276695,37.16142285609576,36.33370674558485,37.16226037351558,35.8173997559125,35.00577675594467,C551-S,Dunbar-Broadway
63,C556-S_velocity,66.43532631264364,61.707888018671575,68.20061427943018,40.28381010456157,65.51167760624969,61.57595056729252,37.39265359123313,C556-S,Eager Park
