,node_name,BGN,BGNx3,Base,I,UG+I,V,V&I,node_id,neighborhood,historic_stream
11,J163-S_depth,0.1382546341762923,0.1382546341762142,0.1382546341704251,0.1382597915193933,0.13825979214458,0.1368069712693549,0.1368112007714438,J163-S,Downtown,"Southside, Drains to Harbor"
12,J165-S_depth,0.1350872517409078,0.1350872656589165,0.1350873513012207,0.1344605803319606,0.1344606182436193,0.1343723546741773,0.1337478590905318,J165-S,Federal Hill,"Southside, Drains to Harbor"
13,J171-S_depth,0.106572369141042,0.1065723723277067,0.1065723743450365,0.1065726146882621,0.1065726196703278,0.1065723675671527,0.1065726168774764,J171-S,Canton,"Northside, Drains to Harbor"
14,J177-S_depth,0.1455925484962258,0.1455925071549074,0.1455925895723072,0.1456278163963354,0.1456278022658759,0.1455530528095684,0.1455882763953763,J177-S,Federal Hill,"Southside, Drains to Harbor"
15,J182-S_depth,0.2678511460343222,0.2678511635871267,0.2678511772391028,0.2252178369275125,0.2252191548572559,0.267089352832267,0.2245323105361817,J182-S,Federal Hill,"Southside, Drains to Harbor"
16,J191-S_depth,0.1681003321051186,0.1681003353545356,0.1681003409010988,0.1625065845680048,0.1625065393650443,0.1681003239304933,0.1625065665270772,J191-S,Fells Point,Canal Street Creek
17,J1-S_depth,0.1014563214424537,0.1014563253821414,0.1014560267067851,0.1014844319924472,0.1014844133417252,0.1014582386987396,0.1014933168036494,J1-S,Clifton Park,Canal Street Creek
18,J204-S_depth,0.1184730490432326,0.1184730491327841,0.118473049042984,0.1184731298506241,0.1184731300037078,0.1184730488951635,0.1184731304740829,J204-S,Fells Point,Canal Street Creek
19,J208-S_depth,0.19427659217735,0.1942765925002785,0.1942765920651596,0.1947154407141207,0.1947154693173627,0.1910298779012131,0.1915084824745372,J208-S,Downtown,"Southside, Drains to Harbor"
20,J211-S_depth,0.1571830034708657,0.139096490646128,0.1571830481697808,0.1320780821192298,0.1320780358917261,0.1569159626381362,0.1318626925008593,J211-S,Fells Point,Canal Street Creek
21,J227-S_depth,0.3956991164739926,0.3956995209528502,0.3957006560428486,0.382501609085232,0.3825015469790082,0.3956992874906705,0.3825014357081368,J227-S,Locust Point,"Southside, Drains to Harbor"
22,J231-S_depth,0.0394553902723099,0.0394554774413608,0.0394551145685269,0.0394148306359527,0.0394157341236715,0.0394554599350494,0.0394151574652574,J231-S,Locust Point,"Southside, Drains to Harbor"
23,J232-S_depth,0.011475427137716,0.0114754939462066,0.011475357046603,0.0114513399535747,0.011451815580987,0.0114754614956291,0.0114511615407862,J232-S,Locust Point,"Southside, Drains to Harbor"
24,J234-S_depth,0.143840583310237,0.1438405833621714,0.1438405831943711,0.1438585709345902,0.1438585718013837,0.1438405831696009,0.1438585724722176,J234-S,Locust Point,"Southside, Drains to Harbor"
25,J238-S_depth,0.0921154641448075,0.092115493095145,0.0921154483100974,0.0921154070568742,0.0921154441738124,0.0921154944580337,0.0921154174274019,J238-S,Locust Point,"Southside, Drains to Harbor"
26,J240-S_depth,0.1736134844405246,0.1736133792636152,0.1736137514189447,0.1694459217521724,0.1694506404689034,0.1735124445442175,0.1693506099579877,J240-S,Locust Point,"Southside, Drains to Harbor"
27,J245-S_depth,0.235370952368524,0.2353709602896365,0.2353710004253458,0.1952537100703814,0.195253543359568,0.2351478912613049,0.1949998202552626,J245-S,Locust Point,"Southside, Drains to Harbor"
28,J253-S_depth,0.1175410943889113,0.1107055603948027,0.1187605079571778,0.0941872648285866,0.0939065710831875,0.114218971075248,0.0906877675633214,J253-S,Eager Park,Canal Street Creek
