,node,Base,BGN,BGNx3,UG+I,V,I,G&I
116,J78-S_depth,0,0,0,0,0,0,
117,J782-S_depth,0,0,0,0,0,0,
118,J787-S_depth,0,0,0,0,0,0,
119,J789-S_depth,0,0,0,-5,-5,-15,
120,J792-S_depth,0,0,0,0,0,0,
121,J799-S_depth,0,0,0,0,0,-20,
122,J8-S_depth,0,0,0,0,0,-20,
123,J80-S_depth,0,0,0,0,0,0,
124,J801-S_depth,0,0,0,0,0,0,
125,J88-S_depth,0,0,0,0,-5,-30,
