,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood,historic_stream
100,-4.981696812011993e-07,-9.180640850314781e-08,0.0,0.0001753769408990996,-7.829878481968588e-07,-6.117155277041153e-07,0.0001751779677557075,J722-S_depth,J722-S,Fells Point,"Northside, Drains to Harbor"
101,-6.114585769656511e-08,-1.3123142059145998e-07,0.0,1.3754475003124877e-06,-7.682400613995277e-07,-0.00042037432714908674,-0.00041897957568400035,J72-S_depth,J72-S,Federal Hill,"Southside, Drains to Harbor"
102,-1.855039233333855e-08,-6.221462101052566e-08,0.0,-0.03195029436337421,-6.950347208878327e-08,-4.1004076992201544e-05,-0.031993620184636695,J732-S_depth,J732-S,Fells Point,"Northside, Drains to Harbor"
103,6.33438656250096e-08,-2.8906406479567437e-07,0.0,4.9363093126419955e-05,-1.3301635723994565e-06,-5.155751336971548e-07,4.858430613760567e-05,J733-S_depth,J733-S,Canton,"Northside, Drains to Harbor"
104,-0.00013782531452108393,-0.0007855659173195972,0.0,-0.045711131057440194,-0.0033398118562655843,-0.0033577838770527946,-0.0478102531560949,J748-S_depth,J748-S,Washington Hill,Canal Street Creek
105,-4.2999980097990775e-06,-0.015350405546759094,0.0,-0.016913178129008805,-0.000450279296734607,-0.0026699261617252057,-0.019073547396299406,J749-S_depth,J749-S,Fells Point,Canal Street Creek
106,8.012162405757195e-09,-4.5177597773893297e-11,0.0,1.104677307961488e-09,-2.0247604010092957e-09,-0.0003449515707262957,-0.00034495174621020086,J751-S_depth,J751-S,Fells Point,"Northside, Drains to Harbor"
107,9.28923493681566e-10,-2.9112677990550395e-08,0.0,0.0036416127303547097,-1.0032335120979674e-07,-0.0026169432446788987,0.0005314808674171945,J756-S_depth,J756-S,Upper Fells Point,"Northside, Drains to Harbor"
108,2.548226010756771e-08,-2.965561829437746e-08,0.0,-0.0018741812023125026,-9.73778278845483e-08,-0.0006233510209882887,-0.0024549688075779785,J758-S_depth,J758-S,Fells Point,"Northside, Drains to Harbor"
109,1.852132152410646e-06,3.4983108630759485e-07,0.0,-0.0025653328760303906,2.0759491173028e-06,2.181213386506786e-06,-0.0025648626064248975,J760-S_depth,J760-S,Fells Point,"Northside, Drains to Harbor"
110,-4.032784873597706e-06,-0.029383775184322503,0.0,-0.057841148959902,-0.0007264522276918539,-0.005122286850631597,-0.06181161276414998,J761-S_depth,J761-S,Fells Point,Canal Street Creek
111,-9.099517180033434e-08,-1.2636034829593967e-07,0.0,5.510188603605193e-06,-6.553490349003877e-07,-4.5402837414193487e-05,-3.990917080688716e-05,J762-S_depth,J762-S,Canton Industrial Area,"Northside, Drains to Harbor"
112,-3.883868437970506e-08,-1.3658798628246593e-07,0.0,-0.007523075413927993,-2.729140669843755e-07,-0.0009617610178919989,-0.007781718626621192,J764-S_depth,J764-S,Fells Point,"Northside, Drains to Harbor"
113,-1.306975319081971e-07,-5.062995350746391e-08,0.0,-0.030837212633413297,3.126264747077556e-07,-6.733823626092761e-06,-0.030833904778585497,J765-S_depth,J765-S,Fells Point,"Northside, Drains to Harbor"
