,BGN,BGNx3,Base,I,UG+I,V,V&I,node_name,node_id,neighborhood
25,2.6395263163614402e-05,-1.1232026875251933e-06,0.0,-3.257287794378172e-06,3.369608063685803e-06,-3.066343337732036e-05,-2.2464053755832936e-05,J238-S_flow,J238-S,"('Locust Point', 'Southside, Drains to Harbor')"
26,0.0004259636672303557,-2.982189500277954e-05,0.0,2.208264828329476e-05,-4.649757200603233e-06,-0.028046560416818078,-0.02784099658902761,J240-S_flow,J240-S,"('Locust Point', 'Southside, Drains to Harbor')"
27,-6.989613008467899e-05,-1.0665583389801725e-06,0.0,-0.10464966869838888,1.3432753315889556e-05,-0.030972948834044,-0.13433935355227966,J245-S_flow,J245-S,"('Locust Point', 'Southside, Drains to Harbor')"
28,-0.3368743632960225,-0.9196426345009829,0.0,-2.1408721263300965,-0.46866212613460156,-0.7359104578727012,-2.7095064700514806,J253-S_flow,J253-S,"('Eager Park', 'Canal Street Creek')"
29,-0.03272831699007295,-0.03247589559684361,0.0,-0.13554074908135494,0.00316412445876324,-0.16538375752050527,-0.2952464541351216,J260-S_flow,J260-S,"('Broadway East', 'Canal Street Creek')"
30,-0.023811923056841433,-0.024216744362021814,0.0,-0.14800734594790077,-0.0006533496201046596,-0.10349333382955272,-0.24681165034600738,J266-S_flow,J266-S,"('Clifton Park', 'Canal Street Creek')"
31,0.0,0.0,0.0,0.0022255859247575227,0.0,-0.03900153863468425,-0.036033467267059915,J268-S_flow,J268-S,"('Clifton Park', 'Canal Street Creek')"
32,0.0,0.0,0.0,0.0010857987459759189,0.0,-0.001062506246871986,0.00044483872807410396,J273-S_flow,J273-S,"('Clifton Park', 'Canal Street Creek')"
33,-0.475512968800353,-0.47548923388201647,0.0,-1.4045733535539648,-0.09503854199109085,-0.5236334589636851,-1.8818681259351324,J278-S_flow,J278-S,"('Broadway East', 'Canal Street Creek')"
34,3.743378365672623e-05,-2.7027780663546608e-06,0.0,0.007877575639208656,-3.2603465330849346e-06,-4.631762170326237e-05,0.007839850952555127,J27-S_flow,J27-S,"('Locust Point', 'Southside, Drains to Harbor')"
35,-0.43926587580832877,-0.4379126627627734,0.0,-1.417001620101269,-0.09282007485046506,-0.5413776277111957,-1.909496187274181,J280-S_flow,J280-S,"('Broadway East', 'Canal Street Creek')"
36,-0.0005909669768957571,-9.741213903957657e-06,0.0,-7.468263993715141e-05,0.00010390628165257709,-0.20253172133153985,-0.20250037864033743,J328-S_flow,J328-S,"('Broadway East', 'Canal Street Creek')"
37,-0.45063556982859687,-0.4508111859761925,0.0,-1.6299610662974153,-0.11791365228445905,-0.7140998143125774,-2.271435966991838,J329-S_flow,J329-S,"('Broadway East', 'Canal Street Creek')"
38,-0.31111563935547437,-0.8860278686962948,0.0,-2.41950095907949,-0.47707074927631865,-0.7624745473585763,-2.8931311985003028,J338-S_flow,J338-S,"('Eager Park', 'Canal Street Creek')"
39,-0.00032830384174520333,-5.659051631745626e-06,0.0,0.0009496362684560111,5.708740274101842e-05,-0.19293879457623664,-0.191883908690472,J33-S_flow,J33-S,"('Locust Point', 'Southside, Drains to Harbor')"
40,-0.00012460376868039802,-2.053908275012617e-06,0.0,-1.5746630108282034e-05,2.1908354932875795e-05,-5.61401595153832e-05,-4.860916250715164e-05,J34-S_flow,J34-S,"('Locust Point', 'Southside, Drains to Harbor')"
41,-0.14401411930441999,-0.5915561924495609,0.0,-2.2042862003547237,-0.2290331731025539,-0.630151045443907,-2.614570330353205,J361-S_flow,J361-S,"('Eager Park', 'Canal Street Creek')"
42,-0.29925067821967577,-0.830140717967871,0.0,-2.110920595515469,-0.4199268244876091,-0.6737238025037762,-2.6393893654708394,J366-S_flow,J366-S,"('Eager Park', 'Canal Street Creek')"
