,node,scenario,count,time_above
297,J578-S_depth,V,5,25
298,J587-S_depth,V,14,70
299,J592-S_depth,V,0,0
300,J5-S_depth,V,10,50
301,J609-S_depth,V,0,0
302,J60-S_depth,V,5,25
303,J619-S_depth,V,8,40
304,J62-S_depth,V,19,95
305,J632-S_depth,V,0,0
306,J640-S_depth,V,0,0
307,J672-S_depth,V,0,0
308,J675-S_depth,V,9,45
309,J686-S_depth,V,1,5
310,J712-S_depth,V,0,0
311,J714-S_depth,V,7,35
312,J71-S_depth,V,22,110
313,J722-S_depth,V,0,0
314,J72-S_depth,V,0,0
315,J733-S_depth,V,1,5
316,J749-S_depth,V,4,20
317,J751-S_depth,V,0,0
318,J756-S_depth,V,13,65
319,J758-S_depth,V,0,0
320,J760-S_depth,V,0,0
321,J761-S_depth,V,10,50
322,J762-S_depth,V,0,0
323,J765-S_depth,V,0,0
324,J772-S_depth,V,7,35
325,J782-S_depth,V,0,0
326,J787-S_depth,V,0,0
327,J789-S_depth,V,0,0
328,J799-S_depth,V,0,0
329,J7-S_depth,V,21,105
330,J80-S_depth,V,0,0
331,J88-S_depth,V,20,100
332,J8-S_depth,V,23,115
333,J128-S_depth,V,0,0
334,J136-S_depth,V,14,70
335,J138-S_depth,V,4,20
336,J157-S_depth,V,13,65
337,J211-S_depth,V,2,10
338,J232-S_depth,V,10,50
339,J240-S_depth,V,5,25
340,J266-S_depth,V,0,0
341,J278-S_depth,V,0,0
342,J27-S_depth,V,1,5
343,J280-S_depth,V,11,55
344,J328-S_depth,V,19,95
345,J338-S_depth,V,9,45
346,J33-S_depth,V,16,80
347,J361-S_depth,V,11,55
348,J413-S_depth,V,3,15
349,J433-S_depth,V,1,5
350,J450-S_depth,V,0,0
351,J456-S_depth,V,3,15
352,J471-S_depth,V,16,80
353,J484-S_depth,V,11,55
354,J491-S_depth,V,6,30
355,J506-S_depth,V,9,45
356,J512-S_depth,V,4,20
357,J534-S_depth,V,9,45
358,J539-S_depth,V,21,105
359,J548-S_depth,V,23,115
360,J567-S_depth,V,0,0
361,J586-S_depth,V,0,0
362,J637-S_depth,V,5,25
363,J659-S_depth,V,11,55
364,J694-S_depth,V,0,0
365,J695-S_depth,V,0,0
366,J732-S_depth,V,9,45
367,J748-S_depth,V,0,0
368,J764-S_depth,V,0,0
369,J78-S_depth,V,0,0
370,J792-S_depth,V,20,100
371,J801-S_depth,V,0,0
372,J105-S_depth,V&I,1,5
373,J10-S_depth,V&I,0,0
374,J116-S_depth,V&I,6,30
375,J119-S_depth,V&I,0,0
376,J130-S_depth,V&I,33,165
377,J131-S_depth,V&I,0,0
378,J141-S_depth,V&I,1,5
379,J163-S_depth,V&I,0,0
380,J165-S_depth,V&I,0,0
381,J171-S_depth,V&I,0,0
382,J177-S_depth,V&I,0,0
383,J182-S_depth,V&I,9,45
384,J191-S_depth,V&I,3,15
385,J1-S_depth,V&I,0,0
386,J204-S_depth,V&I,0,0
387,J208-S_depth,V&I,7,35
388,J227-S_depth,V&I,19,95
389,J231-S_depth,V&I,0,0
390,J234-S_depth,V&I,0,0
391,J238-S_depth,V&I,0,0
392,J245-S_depth,V&I,6,30
393,J253-S_depth,V&I,0,0
394,J260-S_depth,V&I,0,0
395,J268-S_depth,V&I,0,0
396,J273-S_depth,V&I,0,0
397,J329-S_depth,V&I,0,0
398,J34-S_depth,V&I,0,0
399,J366-S_depth,V&I,0,0
400,J385-S_depth,V&I,35,175
401,J3-S_depth,V&I,0,0
402,J421-S_depth,V&I,15,75
403,J42-S_depth,V&I,0,0
404,J437-S_depth,V&I,0,0
405,J438-S_depth,V&I,0,0
406,J45-S_depth,V&I,0,0
407,J460-S_depth,V&I,0,0
408,J461-S_depth,V&I,0,0
409,J46-S_depth,V&I,0,0
410,J480-S_depth,V&I,8,40
411,J492-S_depth,V&I,0,0
412,J49-S_depth,V&I,0,0
413,J4-S_depth,V&I,6,30
414,J507-S_depth,V&I,7,35
415,J50-S_depth,V&I,0,0
416,J541-S_depth,V&I,1,5
417,J556-S_depth,V&I,12,60
418,J568-S_depth,V&I,0,0
419,J571-S_depth,V&I,0,0
420,J576-S_depth,V&I,0,0
