,link_name,BGN,BGNx3,Base,I,UG+I,V,V&I,link_id,neighborhood
43,C361-S_velocity,0.0024524816075315,0.0024524816075275,0.0024524816074811,0.0024515559472812,0.0024515558642934,0.0024524816074196,0.0024515559242981,C361-S,Fells Point
44,C362-S_velocity,0.0007596590789504,0.000759661651706,0.0007596609611036,0.0006409342769328,0.0006409343433842,0.0007596623346274,0.0006409343996391,C362-S,Fells Point
45,C37-S_velocity,0.0008001592966775,0.0008001592990337,0.0008132263096535,0.0006543701958259,0.0006543703364022,0.0007695465353579,0.0006177332558785,C37-S,South Clifton Park
46,C382-S_velocity,0.0021524928942342,0.0021524866721527,0.0021524967527045,0.0021269058066086,0.0021268931174341,0.0021524917268913,0.0021269033440348,C382-S,Canton
47,C3-S_velocity,0.0006519949712767,0.0006519949983222,0.0006519949152645,0.0006584735725014,0.0006584735285763,0.0006417547328533,0.0006475261367275,C3-S,Upper Fells Point
48,C417-S_velocity,0.0063674144845493,0.0063674144858877,0.0063674144884634,0.006388315642114,0.0063883158122123,0.0060809523180311,0.0061007044401919,C417-S,Canton Industrial
49,C418-S_velocity,0.0028307486814581,0.0028307486234828,0.0028307486354451,0.002808265219745,0.0028082650435246,0.0027044393356823,0.0026839453867169,C418-S,Canton Industrial
50,C422-S_velocity,0.0031543805195249,0.0031541968993282,0.0031542681940061,0.003170047048442,0.0031700417893872,0.0031489467924436,0.0031649178711782,C422-S,Canton Industrial
51,C449-S_velocity,0.0007670034283347,0.0007690048559154,0.0007781567429431,0.0008150851353058,0.0008187173880797,0.0007726632020824,0.0008093385052173,C449-S,Broadway East
52,C462-S_velocity,0.0053730413931733,0.0052357940017541,0.005509524654242,0.0057821520689842,0.0056617783855564,0.0052518556309923,0.005528826658444,C462-S,Eager Park
53,C463-S_velocity,0.0051062664854107,0.0049902093256809,0.0052279385741675,0.0055718889953878,0.0054448792566751,0.0050083973855909,0.0053486389362068,C463-S,Eager Park
54,C473-S_velocity,0.0022059897213151,0.0022059897205702,0.0022059897220829,0.0022047325426921,0.0022047326748792,0.0021942944164904,0.0021930391555735,C473-S,Berea
55,C474-S_velocity,0.0017252940305756,0.0017252940179057,0.0017252940212576,0.0014252057762072,0.0014252056720476,0.0017157223163436,0.0014154130185097,C474-S,Berea
56,C478-S_velocity,0.0024144617032113,0.0024148090448481,0.0024147403824666,0.0024918406808126,0.0024917674723252,0.0024142913272133,0.0024932201792856,C478-S,Orangeville
57,C530-S_velocity,0.002087911404043,0.0020079653446006,0.0020992288100913,0.0015730026115775,0.0015715426857045,0.0020250308986485,0.0015379693512661,C530-S,Eager Park
58,C532-S_velocity,0.0005420094145394,0.0004498705023488,0.0005563913262526,0.0001683589803516,0.0001675528731521,0.0004994198391497,0.0001405852351323,C532-S,Eager Park
59,C548-S_velocity,0.0006578085518777,0.0006092784833509,0.0006624910970441,0.0001874195978089,0.0001871221129717,0.0006204895710707,0.0001783241084297,C548-S,Dunbar-Broadway
60,C549-S_velocity,0.0011614895710664,0.0010464710643407,0.0011766826716217,8.994313214485542e-05,8.973167075061656e-05,0.0010699900407334,8.175087212447178e-05,C549-S,Dunbar-Broadway
61,C550-S_velocity,0.0034330213819848,0.0034330142929608,0.0034330288446747,0.0034312186047901,0.0034312119496691,0.0034330234022387,0.0034312185780454,C550-S,Dunbar-Broadway
62,C551-S_velocity,0.0016532574814721,0.0016531475849308,0.0016532079317613,0.0016621033464896,0.0016620708386049,0.0016530576862089,0.0016620988930096,C551-S,Dunbar-Broadway
63,C556-S_velocity,0.0012590079475837,0.0011960751273659,0.0012666977089714,0.000540872351634,0.0005401414043106,0.001210713680656,0.0005172073630785,C556-S,Eager Park
